rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base,semantic_review_status,candidate_reason,suggested_family,term_norm_for_audit,audit_category,audit_reason,include_in_semantic_review,audit_scope,audit_stage,manual_override,manual_override_note
117,working,1,167,102,7.451,1369,pending,psychoanalytic_psychology_high_frequency_recon,,working,background_domain_term,explicit_background_domain_rule,False,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
118,own,1,166,134,9.788,1369,pending,psychoanalytic_psychology_high_frequency_recon,,own,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
119,impact,1,165,102,7.451,1369,pending,psychoanalytic_psychology_high_frequency_recon,,impact,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
120,psychic,1,163,87,6.355,1369,pending,psychoanalytic_psychology_high_frequency_recon,,psychic,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
121,assessment,1,163,84,6.136,1369,pending,psychoanalytic_psychology_high_frequency_recon,,assessment,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
122,individual,1,162,123,8.985,1369,pending,psychoanalytic_psychology_high_frequency_recon,,individual,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
123,latest,1,161,57,4.164,1369,pending,psychoanalytic_psychology_high_frequency_recon,,latest,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
124,symptoms,1,160,84,6.136,1369,pending,psychoanalytic_psychology_high_frequency_recon,,symptoms,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
125,associated,1,160,117,8.546,1369,pending,psychoanalytic_psychology_high_frequency_recon,,associated,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
126,professional,1,159,56,4.091,1369,pending,psychoanalytic_psychology_high_frequency_recon,,professional,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
127,language,1,158,62,4.529,1369,pending,psychoanalytic_psychology_high_frequency_recon,language_narrative_meaning,language,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
128,mind,1,157,86,6.282,1369,pending,psychoanalytic_psychology_high_frequency_recon,,mind,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychology_candidate_queue,2b_recon_audit_terms,,
