journal_key,period,semantic_family,n_articles_refined,n_family_hit_rows_refined,n_articles_group,pct_articles_group_refined
japa,1970-1989,empirical_research_measurement,62,62,681,9.1043
japa,1970-1989,history_theory_schools,28,28,681,4.1116
japa,1990-2009,drive_conflict_defense,352,352,975,36.1026
japa,1990-2009,dream_fantasy_unconscious,192,192,975,19.6923
japa,1990-2009,ego_self_narcissism,130,130,975,13.3333
japa,1990-2009,object_relations,131,131,975,13.4359
japa,1990-2009,kleinian_bionian,17,17,975,1.7436
japa,1990-2009,winnicottian_environment_holding,18,18,975,1.8462
japa,1990-2009,attachment_development_infant,186,186,975,19.0769
japa,1990-2009,transference_countertransference,200,200,975,20.5128
japa,1990-2009,technique_interpretation_process,239,239,975,24.5128
japa,1990-2009,relational_intersubjective_field,192,192,975,19.6923
japa,1990-2009,trauma_dissociation_affect_regulation,132,132,975,13.5385
japa,1990-2009,psychosis_borderline_primitive_states,35,35,975,3.5897
japa,1990-2009,body_sexuality_gender,146,146,975,14.9744
japa,1990-2009,language_narrative_symbolization,144,144,975,14.7692
japa,1990-2009,culture_race_social_ethics,54,54,975,5.5385
japa,1990-2009,empirical_research_measurement,149,149,975,15.2821
japa,1990-2009,history_theory_schools,40,40,975,4.1026
japa,2010-2025,drive_conflict_defense,174,174,730,23.8356
japa,2010-2025,dream_fantasy_unconscious,111,111,730,15.2055
japa,2010-2025,ego_self_narcissism,82,82,730,11.2329
japa,2010-2025,object_relations,90,90,730,12.3288
japa,2010-2025,kleinian_bionian,33,33,730,4.5205
japa,2010-2025,winnicottian_environment_holding,13,13,730,1.7808
japa,2010-2025,attachment_development_infant,102,102,730,13.9726
japa,2010-2025,transference_countertransference,100,100,730,13.6986
japa,2010-2025,technique_interpretation_process,122,122,730,16.7123
japa,2010-2025,relational_intersubjective_field,148,148,730,20.274
japa,2010-2025,trauma_dissociation_affect_regulation,98,98,730,13.4247
japa,2010-2025,psychosis_borderline_primitive_states,27,27,730,3.6986
japa,2010-2025,body_sexuality_gender,84,84,730,11.5068
japa,2010-2025,language_narrative_symbolization,148,148,730,20.274
japa,2010-2025,culture_race_social_ethics,89,89,730,12.1918
japa,2010-2025,empirical_research_measurement,89,89,730,12.1918
japa,2010-2025,history_theory_schools,25,25,730,3.4247
psychoanalytic_dialogues,1990-2009,drive_conflict_defense,114,114,535,21.3084
psychoanalytic_dialogues,1990-2009,dream_fantasy_unconscious,79,79,535,14.7664
psychoanalytic_dialogues,1990-2009,ego_self_narcissism,101,101,535,18.8785
psychoanalytic_dialogues,1990-2009,object_relations,69,69,535,12.8972
psychoanalytic_dialogues,1990-2009,kleinian_bionian,26,26,535,4.8598
psychoanalytic_dialogues,1990-2009,winnicottian_environment_holding,13,13,535,2.4299
psychoanalytic_dialogues,1990-2009,attachment_development_infant,73,73,535,13.6449
psychoanalytic_dialogues,1990-2009,transference_countertransference,151,151,535,28.2243
psychoanalytic_dialogues,1990-2009,technique_interpretation_process,125,125,535,23.3645
psychoanalytic_dialogues,1990-2009,relational_intersubjective_field,277,277,535,51.7757
psychoanalytic_dialogues,1990-2009,trauma_dissociation_affect_regulation,102,102,535,19.0654
psychoanalytic_dialogues,1990-2009,psychosis_borderline_primitive_states,6,6,535,1.1215
psychoanalytic_dialogues,1990-2009,body_sexuality_gender,99,99,535,18.5047
psychoanalytic_dialogues,1990-2009,language_narrative_symbolization,75,75,535,14.0187
psychoanalytic_dialogues,1990-2009,culture_race_social_ethics,63,63,535,11.7757
psychoanalytic_dialogues,1990-2009,empirical_research_measurement,18,18,535,3.3645
psychoanalytic_dialogues,1990-2009,history_theory_schools,4,4,535,0.7477
psychoanalytic_dialogues,2010-2025,drive_conflict_defense,181,181,1043,17.3538
psychoanalytic_dialogues,2010-2025,dream_fantasy_unconscious,109,109,1043,10.4506
psychoanalytic_dialogues,2010-2025,ego_self_narcissism,195,195,1043,18.6961
psychoanalytic_dialogues,2010-2025,object_relations,137,137,1043,13.1352
psychoanalytic_dialogues,2010-2025,kleinian_bionian,60,60,1043,5.7526
psychoanalytic_dialogues,2010-2025,winnicottian_environment_holding,18,18,1043,1.7258
psychoanalytic_dialogues,2010-2025,attachment_development_infant,190,190,1043,18.2167
psychoanalytic_dialogues,2010-2025,transference_countertransference,162,162,1043,15.5321
psychoanalytic_dialogues,2010-2025,technique_interpretation_process,124,124,1043,11.8888
psychoanalytic_dialogues,2010-2025,relational_intersubjective_field,563,563,1043,53.9789
psychoanalytic_dialogues,2010-2025,trauma_dissociation_affect_regulation,360,360,1043,34.5158
psychoanalytic_dialogues,2010-2025,psychosis_borderline_primitive_states,22,22,1043,2.1093
psychoanalytic_dialogues,2010-2025,body_sexuality_gender,214,214,1043,20.5177
psychoanalytic_dialogues,2010-2025,language_narrative_symbolization,166,166,1043,15.9156
psychoanalytic_dialogues,2010-2025,culture_race_social_ethics,270,270,1043,25.8869
psychoanalytic_dialogues,2010-2025,empirical_research_measurement,58,58,1043,5.5609
psychoanalytic_dialogues,2010-2025,history_theory_schools,10,10,1043,0.9588
psychoanalytic_psychology,1970-1989,drive_conflict_defense,44,44,123,35.7724
psychoanalytic_psychology,1970-1989,dream_fantasy_unconscious,12,12,123,9.7561
psychoanalytic_psychology,1970-1989,ego_self_narcissism,31,31,123,25.2033
psychoanalytic_psychology,1970-1989,object_relations,32,32,123,26.0163
psychoanalytic_psychology,1970-1989,kleinian_bionian,1,1,123,0.813
psychoanalytic_psychology,1970-1989,winnicottian_environment_holding,2,2,123,1.626
psychoanalytic_psychology,1970-1989,attachment_development_infant,27,27,123,21.9512
psychoanalytic_psychology,1970-1989,transference_countertransference,27,27,123,21.9512
psychoanalytic_psychology,1970-1989,technique_interpretation_process,19,19,123,15.4472
psychoanalytic_psychology,1970-1989,relational_intersubjective_field,35,35,123,28.4553
psychoanalytic_psychology,1970-1989,trauma_dissociation_affect_regulation,19,19,123,15.4472
psychoanalytic_psychology,1970-1989,psychosis_borderline_primitive_states,15,15,123,12.1951
psychoanalytic_psychology,1970-1989,body_sexuality_gender,15,15,123,12.1951
psychoanalytic_psychology,1970-1989,language_narrative_symbolization,16,16,123,13.0081
psychoanalytic_psychology,1970-1989,culture_race_social_ethics,7,7,123,5.6911
psychoanalytic_psychology,1970-1989,empirical_research_measurement,19,19,123,15.4472
psychoanalytic_psychology,1970-1989,history_theory_schools,3,3,123,2.439
psychoanalytic_psychology,1990-2009,drive_conflict_defense,204,204,622,32.7974
psychoanalytic_psychology,1990-2009,dream_fantasy_unconscious,97,97,622,15.5949
psychoanalytic_psychology,1990-2009,ego_self_narcissism,132,132,622,21.2219
psychoanalytic_psychology,1990-2009,object_relations,118,118,622,18.9711
psychoanalytic_psychology,1990-2009,kleinian_bionian,7,7,622,1.1254
psychoanalytic_psychology,1990-2009,winnicottian_environment_holding,10,10,622,1.6077
psychoanalytic_psychology,1990-2009,attachment_development_infant,131,131,622,21.0611
