rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base,semantic_review_status,candidate_reason,suggested_family,term_norm_for_audit,audit_category,audit_reason,include_in_semantic_review,audit_scope,audit_stage,manual_override,manual_override_note
67,email,1,155,154,17.701,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,email,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
68,many,1,153,116,13.333,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,many,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
69,out,1,153,107,12.299,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,out,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
70,individual,1,152,109,12.529,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,individual,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
71,supervision,1,151,54,6.207,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,supervision,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
72,over,1,149,111,12.759,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,over,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
73,groups,1,148,59,6.782,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,groups,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
75,social,1,145,91,10.46,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,culture_social_ethics,social,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
76,different,1,144,118,13.563,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,different,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
77,psychiatry,1,138,78,8.966,870,pending,psychoanalytic_psychotherapy_high_frequency_recon,,psychiatry,candidate_concept,kept_for_semantic_review,True,psychoanalytic_psychotherapy_candidate_queue,2b_recon_audit_terms,,
