rank_within_group,journal_key,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score,term_norm_for_refinement,refined_audit_category,refined_audit_reason,include_in_refined_semantic_review,refinement_source_table,manual_override,manual_override_note,term_norm_final_cleanup,final_cleanup_category,final_cleanup_reason,include_in_final_semantic_review,final_cleanup_source_table
60,ijpa,thought,terms_unigram,5423,6741,679,518,12.5207,7.6843,4.8364,1.629,31.543614,thought,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,thought,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
62,ijpa,objects,terms_unigram,5423,6741,477,253,8.7959,3.7532,5.0427,2.3413,31.111602,objects,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,objects,final_keep,protected_psychoanalytic_term,True,key_terms_by_journal
63,ijpa,world,terms_unigram,5423,6741,801,684,14.7704,10.1469,4.6236,1.4555,30.918246,world,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,world,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
64,ijpa,early,terms_unigram,5423,6741,944,876,17.4073,12.9951,4.4122,1.3394,30.229035,early,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,early,final_keep,protected_psychoanalytic_term,True,key_terms_by_journal
66,ijpa,able,terms_unigram,5423,6741,484,275,8.9249,4.0795,4.8454,2.186,29.964897,able,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,able,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
67,ijpa,against,terms_unigram,5423,6741,629,470,11.5987,6.9723,4.6265,1.663,29.821037,against,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,against,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
69,ijpa,nature,terms_unigram,5423,6741,755,639,13.9222,9.4793,4.4429,1.4685,29.447576,nature,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,nature,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
71,ijpa,congress,terms_unigram,5423,6741,297,24,5.4767,0.356,5.1206,15.0935,29.172783,congress,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,congress,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
73,ijpa,say,terms_unigram,5423,6741,424,212,7.8186,3.1449,4.6736,2.4831,28.285145,say,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,say,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
75,ijpa,seems,terms_unigram,5423,6741,464,270,8.5561,4.0053,4.5508,2.1345,27.951241,seems,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,seems,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
76,ijpa,contact,terms_unigram,5423,6741,432,228,7.9661,3.3823,4.5838,2.3527,27.826944,contact,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,contact,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
77,ijpa,character,terms_unigram,5423,6741,447,249,8.2427,3.6938,4.5489,2.2294,27.769826,character,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,character,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
78,ijpa,mind,terms_unigram,5423,6741,772,680,14.2357,10.0875,4.1481,1.411,27.586281,mind,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,mind,final_keep,protected_psychoanalytic_term,True,key_terms_by_journal
79,ijpa,already,terms_unigram,5423,6741,363,137,6.6937,2.0323,4.6614,3.286,27.488831,already,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,already,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
81,ijpa,little,terms_unigram,5423,6741,482,309,8.8881,4.5839,4.3042,1.9378,26.599902,little,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,little,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
82,ijpa,knowledge,terms_unigram,5423,6741,520,360,9.5888,5.3405,4.2483,1.7947,26.576519,knowledge,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,knowledge,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
84,ijpa,anxiety,terms_unigram,5423,6741,546,396,10.0682,5.8745,4.1937,1.7132,26.439147,anxiety,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,anxiety,final_keep,protected_psychoanalytic_term,True,key_terms_by_journal
85,ijpa,every,terms_unigram,5423,6741,394,192,7.2654,2.8482,4.4171,2.5473,26.409391,every,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,every,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
87,ijpa,infantile,terms_unigram,5423,6741,364,157,6.7122,2.329,4.3831,2.8766,25.859962,infantile,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,infantile,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
88,ijpa,attention,terms_unigram,5423,6741,603,480,11.1193,7.1206,3.9987,1.5612,25.605981,attention,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,attention,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
89,ijpa,like,terms_unigram,5423,6741,702,610,12.9449,9.0491,3.8958,1.4303,25.53811,like,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,like,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
90,ijpa,function,terms_unigram,5423,6741,589,464,10.8611,6.8833,3.9779,1.5775,25.379459,function,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,function,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
91,ijpa,neurosis,terms_unigram,5423,6741,349,142,6.4356,2.1065,4.329,3.0486,25.359226,neurosis,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,neurosis,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
92,ijpa,hand,terms_unigram,5423,6741,371,173,6.8412,2.5664,4.2748,2.6615,25.302366,hand,candidate_concept,kept_for_semantic_review,True,key_terms_by_journal,,,hand,final_keep,kept_after_final_cleanup,True,key_terms_by_journal
