rank_within_group,period,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score,term_norm_for_refinement,refined_audit_category,refined_audit_reason,include_in_refined_semantic_review,refinement_source_table,manual_override,manual_override_note,term_norm_final_cleanup,final_cleanup_category,final_cleanup_reason,include_in_final_semantic_review,final_cleanup_source_table
33,1920-1945,means,terms_unigram,686,11478,114,720,16.6181,6.2729,10.3452,2.6553,49.0873,means,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,means,final_keep,kept_after_final_cleanup,True,key_terms_by_period
35,1920-1945,said,terms_unigram,686,11478,98,465,14.2857,4.0512,10.2345,3.5356,47.028689,said,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,said,final_keep,kept_after_final_cleanup,True,key_terms_by_period
38,1920-1945,already,terms_unigram,686,11478,94,406,13.7026,3.5372,10.1654,3.8844,46.292082,already,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,already,final_keep,kept_after_final_cleanup,True,key_terms_by_period
43,1920-1945,significance,terms_unigram,686,11478,97,494,14.1399,4.3039,9.8361,3.2945,45.097997,significance,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,significance,final_keep,kept_after_final_cleanup,True,key_terms_by_period
48,1920-1945,find,terms_unigram,686,11478,105,679,15.3061,5.9157,9.3905,2.5942,43.791828,find,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,find,final_keep,kept_after_final_cleanup,True,key_terms_by_period
49,1920-1945,too,terms_unigram,686,11478,99,579,14.4315,5.0444,9.3871,2.8689,43.228981,too,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,too,final_keep,kept_after_final_cleanup,True,key_terms_by_period
50,1920-1945,here,terms_unigram,686,11478,121,1007,17.6385,8.7733,8.8652,2.015,42.588504,here,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,here,final_keep,kept_after_final_cleanup,True,key_terms_by_period
51,1920-1945,able,terms_unigram,686,11478,102,657,14.8688,5.724,9.1448,2.6048,42.38372,able,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,able,final_keep,kept_after_final_cleanup,True,key_terms_by_period
52,1920-1945,interest,terms_unigram,686,11478,106,764,15.4519,6.6562,8.7957,2.3277,41.100722,interest,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,interest,final_keep,kept_after_final_cleanup,True,key_terms_by_period
56,1920-1945,child,terms_unigram,686,11478,131,1245,19.0962,10.8468,8.2494,1.7641,40.280052,child,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,child,final_keep,protected_psychoanalytic_term,True,key_terms_by_period
57,1920-1945,jones,terms_unigram,686,11478,74,168,10.7872,1.4637,9.3235,7.3876,40.254111,jones,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,jones,final_keep,kept_after_final_cleanup,True,key_terms_by_period
58,1920-1945,account,terms_unigram,686,11478,98,636,14.2857,5.541,8.7447,2.5857,40.182849,account,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,account,final_keep,kept_after_final_cleanup,True,key_terms_by_period
59,1920-1945,unconscious,terms_unigram,686,11478,165,1864,24.0525,16.2398,7.8127,1.4831,39.938504,unconscious,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,unconscious,final_keep,protected_psychoanalytic_term,True,key_terms_by_period
60,1920-1945,though,terms_unigram,686,11478,96,606,13.9942,5.2797,8.7145,2.6585,39.866336,though,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,though,final_keep,kept_after_final_cleanup,True,key_terms_by_period
61,1920-1945,father,terms_unigram,686,11478,89,484,12.9738,4.2168,8.757,3.0866,39.404826,father,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,father,final_keep,kept_after_final_cleanup,True,key_terms_by_period
63,1920-1945,attention,terms_unigram,686,11478,113,970,16.4723,8.4509,8.0214,1.9541,37.990722,attention,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,attention,final_keep,kept_after_final_cleanup,True,key_terms_by_period
64,1920-1945,vol,terms_unigram,686,11478,64,45,9.3294,0.3921,8.9374,23.6862,37.308134,vol,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,vol,final_keep,kept_after_final_cleanup,True,key_terms_by_period
65,1920-1945,according,terms_unigram,686,11478,82,406,11.9534,3.5372,8.4162,3.3911,37.189631,according,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,according,final_keep,kept_after_final_cleanup,True,key_terms_by_period
66,1920-1945,ernest,terms_unigram,686,11478,67,113,9.7668,0.9845,8.7823,9.937,37.056863,ernest,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,ernest,final_keep,kept_after_final_cleanup,True,key_terms_by_period
67,1920-1945,against,terms_unigram,686,11478,112,987,16.3265,8.5991,7.7275,1.9035,36.530755,against,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,against,final_keep,kept_after_final_cleanup,True,key_terms_by_period
68,1920-1945,connection,terms_unigram,686,11478,76,307,11.0787,2.6747,8.404,4.1568,36.505494,connection,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,connection,final_keep,kept_after_final_cleanup,True,key_terms_by_period
69,1920-1945,instance,terms_unigram,686,11478,73,262,10.6414,2.2826,8.3588,4.6785,35.976698,instance,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,instance,final_keep,kept_after_final_cleanup,True,key_terms_by_period
71,1920-1945,perhaps,terms_unigram,686,11478,87,534,12.6822,4.6524,8.0298,2.7353,35.952286,perhaps,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,perhaps,final_keep,kept_after_final_cleanup,True,key_terms_by_period
72,1920-1945,character,terms_unigram,686,11478,90,606,13.1195,5.2797,7.8399,2.4932,35.364543,character,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,character,final_keep,kept_after_final_cleanup,True,key_terms_by_period
73,1920-1945,libido,terms_unigram,686,11478,68,182,9.9125,1.5856,8.3269,6.2716,35.256958,libido,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,libido,final_keep,kept_after_final_cleanup,True,key_terms_by_period
74,1920-1945,come,terms_unigram,686,11478,97,744,14.1399,6.482,7.658,2.1882,35.111572,come,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,come,final_keep,kept_after_final_cleanup,True,key_terms_by_period
75,1920-1945,symptoms,terms_unigram,686,11478,89,594,12.9738,5.1751,7.7986,2.5155,35.092411,symptoms,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,symptoms,final_keep,kept_after_final_cleanup,True,key_terms_by_period
77,1920-1945,day,terms_unigram,686,11478,74,307,10.7872,2.6747,8.1125,4.0482,35.025579,day,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,day,final_keep,kept_after_final_cleanup,True,key_terms_by_period
79,1920-1945,attitude,terms_unigram,686,11478,76,359,11.0787,3.1277,7.951,3.5556,34.537573,attitude,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,attitude,final_keep,kept_after_final_cleanup,True,key_terms_by_period
80,1920-1945,once,terms_unigram,686,11478,78,399,11.3703,3.4762,7.894,3.2832,34.492627,once,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,once,final_keep,kept_after_final_cleanup,True,key_terms_by_period
82,1920-1945,see,terms_unigram,686,11478,92,679,13.4111,5.9157,7.4954,2.2746,33.97371,see,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,see,final_keep,kept_after_final_cleanup,True,key_terms_by_period
84,1920-1945,mental,terms_unigram,686,11478,135,1474,19.6793,12.842,6.8373,1.5355,33.5895,mental,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,mental,final_keep,protected_psychoanalytic_term,True,key_terms_by_period
88,1920-1945,almost,terms_unigram,686,11478,76,414,11.0787,3.6069,7.4718,3.0838,32.456119,almost,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,almost,final_keep,kept_after_final_cleanup,True,key_terms_by_period
89,1920-1945,neurosis,terms_unigram,686,11478,76,415,11.0787,3.6156,7.4631,3.0764,32.418275,neurosis,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,neurosis,final_keep,kept_after_final_cleanup,True,key_terms_by_period
92,1920-1945,came,terms_unigram,686,11478,75,414,10.9329,3.6069,7.326,3.0435,31.727145,came,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,came,final_keep,kept_after_final_cleanup,True,key_terms_by_period
93,1920-1945,mother,terms_unigram,686,11478,102,927,14.8688,8.0763,6.7925,1.8465,31.481326,mother,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,mother,final_keep,protected_psychoanalytic_term,True,key_terms_by_period
95,1920-1945,something,terms_unigram,686,11478,82,563,11.9534,4.905,7.0483,2.4463,31.14539,something,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,something,final_keep,kept_after_final_cleanup,True,key_terms_by_period
97,1920-1945,congress,terms_unigram,686,11478,66,255,9.621,2.2216,7.3993,4.3489,31.111992,congress,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,congress,final_keep,kept_after_final_cleanup,True,key_terms_by_period
1,1946-1969,ego,terms_unigram,1743,10421,580,950,33.276,9.1162,24.1598,3.6497,153.770808,ego,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,ego,final_keep,protected_psychoanalytic_term,True,key_terms_by_period
3,1946-1969,psycho-analytic,terms_unigram,1743,10421,364,136,20.8835,1.3051,19.5785,15.9577,115.511005,psycho-analytic,candidate_concept,kept_for_semantic_review,True,key_terms_by_period,,,psycho-analytic,final_keep,kept_after_final_cleanup,True,key_terms_by_period
