term_norm_final_cleanup,final_cleanup_category,final_cleanup_reason,include_in_final_semantic_review,manual_override,manual_override_note
behaviour,final_keep,kept_after_final_cleanup,True,,
behavioural,final_keep,kept_after_final_cleanup,True,,
believe,final_keep,kept_after_final_cleanup,True,,
below former,final_keep,kept_after_final_cleanup,True,,
belsize,final_keep,kept_after_final_cleanup,True,,
belsize lane,final_keep,kept_after_final_cleanup,True,,
benefit,final_keep,kept_after_final_cleanup,True,,
best essay,final_keep,kept_after_final_cleanup,True,,
best proposals,final_keep,kept_after_final_cleanup,True,,
betty joseph,final_keep,kept_after_final_cleanup,True,,
beverly hills,final_keep,kept_after_final_cleanup,True,,
bion,final_keep,kept_after_final_cleanup,True,,
bion's,final_keep,kept_after_final_cleanup,True,,
blass rachel,final_keep,kept_after_final_cleanup,True,,
blass ucl,final_keep,kept_after_final_cleanup,True,,
blind eye,final_keep,kept_after_final_cleanup,True,,
bloomingdale white,final_keep,kept_after_final_cleanup,True,,
blum,final_keep,kept_after_final_cleanup,True,,
blum harold,final_keep,kept_after_final_cleanup,True,,
blum hemlocks,final_keep,kept_after_final_cleanup,True,,
blum summary,final_keep,kept_after_final_cleanup,True,,
board,final_keep,kept_after_final_cleanup,True,,
board directors,final_keep,kept_after_final_cleanup,True,,
board essays,final_keep,kept_after_final_cleanup,True,,
board member,final_keep,kept_after_final_cleanup,True,,
body,final_keep,protected_psychoanalytic_term,True,,
body ego,final_keep,kept_after_final_cleanup,True,,
body image,final_keep,kept_after_final_cleanup,True,,
bonnie litowitz,final_keep,kept_after_final_cleanup,True,,
books available,final_keep,kept_after_final_cleanup,True,,
borderline,final_keep,protected_psychoanalytic_term,True,,
borderline personality,final_keep,kept_after_final_cleanup,True,,
borderline psychopathology,final_keep,kept_after_final_cleanup,True,,
borderline schizophrenic,final_keep,kept_after_final_cleanup,True,,
bornstein robert,final_keep,kept_after_final_cleanup,True,,
boundary violations,final_keep,kept_after_final_cleanup,True,,
box,final_keep,kept_after_final_cleanup,True,,
box topeka,final_keep,kept_after_final_cleanup,True,,
brain,final_keep,kept_after_final_cleanup,True,,
brattle cambridge,final_keep,kept_after_final_cleanup,True,,
brazil,final_keep,kept_after_final_cleanup,True,,
brief,final_keep,kept_after_final_cleanup,True,,
brief communication,final_keep,kept_after_final_cleanup,True,,
briefly,final_keep,kept_after_final_cleanup,True,,
british psycho-analytical,final_keep,kept_after_final_cleanup,True,,
