term,source_table,term_col,journal_key,period,count,doc_count,doc_pct,keyness_score,pct_point_lift,candidate_review_status,suggested_semantic_family,manual_note,term_norm,term_norm_for_refinement,refined_audit_category,refined_audit_reason,include_in_refined_semantic_review,refinement_source_table,manual_override,manual_override_note,term_norm_final_cleanup,final_cleanup_category,final_cleanup_reason,include_in_final_semantic_review,final_cleanup_source_table
technique,global_core_terms_after_audit,,,,1787,928,7.6291,,,pending,,,technique,technique,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,technique,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
interpretation,global_core_terms_after_audit,,,,1784,916,7.5304,,,pending,,,interpretation,interpretation,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,interpretation,final_keep,protected_psychoanalytic_term,True,discriminative_candidate_terms
body,global_core_terms_after_audit,,,,1780,833,6.8481,,,pending,,,body,body,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,body,final_keep,protected_psychoanalytic_term,True,discriminative_candidate_terms
complex,global_core_terms_after_audit,,,,1750,1145,9.413,,,pending,,,complex,complex,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,complex,final_exclude,final_stop_term,False,discriminative_candidate_terms
situation,global_core_terms_after_audit,,,,1744,1151,9.4623,,,pending,,,situation,situation,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,situation,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
dreams,global_core_terms_after_audit,,,,1706,581,4.7764,,,pending,,,dreams,dreams,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,dreams,final_keep,protected_psychoanalytic_term,True,discriminative_candidate_terms
children,global_core_terms_after_audit,,,,1706,884,7.2673,,,pending,,,children,children,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,children,final_keep,protected_psychoanalytic_term,True,discriminative_candidate_terms
often,global_core_terms_after_audit,,,,1697,1420,11.6738,,,pending,,,often,often,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,often,final_exclude,final_stop_term,False,discriminative_candidate_terms
like,global_core_terms_after_audit,,,,1681,1312,10.7859,,,pending,,,like,like,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,like,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
states,global_core_terms_after_audit,,,,1677,1071,8.8047,,,pending,,,states,states,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,states,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
thought,global_core_terms_after_audit,,,,1658,1197,9.8405,,,pending,,,thought,thought,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,thought,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
function,global_core_terms_after_audit,,,,1657,1053,8.6567,,,pending,,,function,function,candidate_concept,kept_for_semantic_review,True,discriminative_candidate_terms,,,function,final_keep,kept_after_final_cleanup,True,discriminative_candidate_terms
