rank_within_group,journal_key,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score,term_norm_for_refinement,refined_audit_category,refined_audit_reason,include_in_refined_semantic_review,refinement_source_table,manual_override,manual_override_note,term_norm_final_cleanup,final_cleanup_category,final_cleanup_reason,include_in_final_semantic_review,final_cleanup_source_table
65,ijpa,ego superego,terms_bigram,5423,6741,68,44,1.2539,0.6527,0.6012,1.9134,2.545529,ego superego,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,ego superego,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
66,ijpa,psychic apparatus,terms_bigram,5423,6741,52,22,0.9589,0.3264,0.6325,2.9003,2.51128,psychic apparatus,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,psychic apparatus,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
67,ijpa,accepted march,terms_bigram,5423,6741,39,3,0.7192,0.0445,0.6747,14.0281,2.488722,accepted march,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,accepted march,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
68,ijpa,defences against,terms_bigram,5423,6741,42,8,0.7745,0.1187,0.6558,6.215,2.466604,defences against,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,defences against,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
69,ijpa,carried out,terms_bigram,5423,6741,72,51,1.3277,0.7566,0.5711,1.7498,2.450342,carried out,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,carried out,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
70,ijpa,even though,terms_bigram,5423,6741,69,47,1.2724,0.6972,0.5751,1.8187,2.443448,even though,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,even though,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
72,ijpa,journal psycho-analysis,terms_bigram,5423,6741,39,5,0.7192,0.0742,0.645,8.927,2.379276,journal psycho-analysis,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,journal psycho-analysis,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
73,ijpa,unconscious phantasies,terms_bigram,5423,6741,39,5,0.7192,0.0742,0.645,8.927,2.379276,unconscious phantasies,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,unconscious phantasies,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
74,ijpa,obsessional neurosis,terms_bigram,5423,6741,42,10,0.7745,0.1483,0.6261,5.0312,2.355012,obsessional neurosis,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,obsessional neurosis,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
75,ijpa,andr green,terms_bigram,5423,6741,40,7,0.7376,0.1038,0.6338,6.7122,2.353502,andr green,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,andr green,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
76,ijpa,psychic functioning,terms_bigram,5423,6741,48,19,0.8851,0.2819,0.6033,3.0915,2.347786,psychic functioning,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,psychic functioning,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
77,ijpa,human beings,terms_bigram,5423,6741,64,42,1.1802,0.6231,0.5571,1.8864,2.325575,human beings,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,human beings,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
78,ijpa,der psychoanalyse,terms_bigram,5423,6741,35,0,0.6454,0.0,0.6454,88.2526,2.3128,der psychoanalyse,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,der psychoanalyse,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
79,ijpa,paulo brazil,terms_bigram,5423,6741,35,0,0.6454,0.0,0.6454,88.2526,2.3128,paulo brazil,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,paulo brazil,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
80,ijpa,psicoan lisis,terms_bigram,5423,6741,38,5,0.7007,0.0742,0.6265,8.701,2.295391,psicoan lisis,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,psicoan lisis,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
81,ijpa,infantile sexuality,terms_bigram,5423,6741,48,20,0.8851,0.2967,0.5884,2.9407,2.290052,infantile sexuality,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,infantile sexuality,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
82,ijpa,object relationship,terms_bigram,5423,6741,57,33,1.0511,0.4895,0.5615,2.1335,2.28009,object relationship,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,object relationship,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
83,ijpa,part played,terms_bigram,5423,6741,37,4,0.6823,0.0593,0.6229,10.3583,2.266001,part played,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,part played,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
84,ijpa,jones ernest,terms_bigram,5423,6741,35,1,0.6454,0.0148,0.6306,29.4175,2.25964,jones ernest,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,jones ernest,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
85,ijpa,bear mind,terms_bigram,5423,6741,35,1,0.6454,0.0148,0.6306,29.4175,2.25964,bear mind,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,bear mind,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
86,ijpa,death drive,terms_bigram,5423,6741,46,18,0.8482,0.267,0.5812,3.1243,2.237768,death drive,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,death drive,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
87,ijpa,give rise,terms_bigram,5423,6741,48,21,0.8851,0.3115,0.5736,2.804,2.232319,give rise,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,give rise,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
88,ijpa,international journal,terms_bigram,5423,6741,85,72,1.5674,1.0681,0.4993,1.4659,2.224088,international journal,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,international journal,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
89,ijpa,transference situation,terms_bigram,5423,6741,39,8,0.7192,0.1187,0.6005,5.7763,2.215107,transference situation,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,transference situation,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
90,ijpa,ipa congress,terms_bigram,5423,6741,35,2,0.6454,0.0297,0.6157,17.6505,2.20648,ipa congress,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,ipa congress,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
91,ijpa,repetition compulsion,terms_bigram,5423,6741,49,23,0.9036,0.3412,0.5624,2.6182,2.199978,repetition compulsion,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,repetition compulsion,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
92,ijpa,accepted november,terms_bigram,5423,6741,34,1,0.627,0.0148,0.6121,28.5889,2.176316,accepted november,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,accepted november,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
93,ijpa,very little,terms_bigram,5423,6741,41,12,0.756,0.178,0.578,4.1267,2.160463,very little,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,very little,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
95,ijpa,english language,terms_bigram,5423,6741,37,6,0.6823,0.089,0.5933,7.1711,2.158077,english language,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,english language,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
96,ijpa,accepted january,terms_bigram,5423,6741,33,0,0.6085,0.0,0.6085,83.2806,2.145858,accepted january,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,accepted january,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
97,ijpa,outer world,terms_bigram,5423,6741,40,11,0.7376,0.1632,0.5744,4.3775,2.133145,outer world,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,outer world,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
98,ijpa,accepted october,terms_bigram,5423,6741,33,1,0.6085,0.0148,0.5937,27.7602,2.093546,accepted october,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,accepted october,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
99,ijpa,este art,terms_bigram,5423,6741,33,1,0.6085,0.0148,0.5937,27.7602,2.093546,este art,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,este art,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
100,ijpa,life death,terms_bigram,5423,6741,54,32,0.9958,0.4747,0.5211,2.0844,2.088028,life death,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,life death,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
2,japa,training supervising,terms_bigram,2924,9240,255,224,8.7209,2.4242,6.2967,3.5956,34.916251,training supervising,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,training supervising,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
4,japa,meeting american,terms_bigram,2924,9240,173,24,5.9166,0.2597,5.6568,22.3731,29.183808,meeting american,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,meeting american,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
5,japa,submitted publication,terms_bigram,2924,9240,116,7,3.9672,0.0758,3.8914,49.0747,18.531575,submitted publication,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,submitted publication,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
11,japa,annual meeting,terms_bigram,2924,9240,60,26,2.052,0.2814,1.7706,7.2128,7.278706,annual meeting,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,annual meeting,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
12,japa,fall meeting,terms_bigram,2924,9240,48,0,1.6416,0.0,1.6416,306.4537,6.388761,fall meeting,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,fall meeting,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
13,japa,object relations,terms_bigram,2924,9240,147,348,5.0274,3.7662,1.2611,1.3372,6.302114,object relations,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,object relations,final_keep,protected_psychoanalytic_term,True,key_bigrams_by_journal
14,japa,ego psychology,terms_bigram,2924,9240,62,69,2.1204,0.7468,1.3736,2.8411,5.691133,ego psychology,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,ego psychology,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
16,japa,comcast net,terms_bigram,2924,9240,58,57,1.9836,0.6169,1.3667,3.2143,5.572775,comcast net,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,comcast net,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
17,japa,ann arbor,terms_bigram,2924,9240,56,50,1.9152,0.5411,1.3741,3.5347,5.555392,ann arbor,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,ann arbor,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
18,japa,panel held,terms_bigram,2924,9240,41,6,1.4022,0.0649,1.3373,20.171,4.998213,panel held,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,panel held,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
19,japa,plenary address,terms_bigram,2924,9240,39,2,1.3338,0.0216,1.3121,49.9172,4.840342,plenary address,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,plenary address,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
20,japa,defense against,terms_bigram,2924,9240,44,23,1.5048,0.2489,1.2559,5.9825,4.780674,defense against,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,defense against,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
23,japa,harold blum,terms_bigram,2924,9240,44,27,1.5048,0.2922,1.2126,5.1123,4.615883,harold blum,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,harold blum,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
25,japa,physicians surgeons,terms_bigram,2924,9240,38,14,1.2996,0.1515,1.1481,8.3885,4.206042,physicians surgeons,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,physicians surgeons,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
26,japa,cornell medical,terms_bigram,2924,9240,37,18,1.2654,0.1948,1.0706,6.404,3.894344,cornell medical,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,cornell medical,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
27,japa,psychiatry columbia,terms_bigram,2924,9240,35,11,1.197,0.119,1.0779,9.7527,3.862828,psychiatry columbia,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,psychiatry columbia,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
28,japa,submitted march,terms_bigram,2924,9240,32,0,1.0944,0.0,1.0944,205.3556,3.826547,submitted march,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,submitted march,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
30,japa,supervising columbia,terms_bigram,2924,9240,34,8,1.1628,0.0866,1.0762,12.8231,3.826303,supervising columbia,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,supervising columbia,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
32,japa,steven roose,terms_bigram,2924,9240,32,5,1.0944,0.0541,1.0403,18.6687,3.637342,steven roose,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,steven roose,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
33,japa,blum harold,terms_bigram,2924,9240,36,21,1.2312,0.2273,1.0039,5.3635,3.625063,blum harold,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_journal,,,blum harold,final_keep,kept_after_final_cleanup,True,key_bigrams_by_journal
