rank_within_group,period,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score,term_norm_for_refinement,refined_audit_category,refined_audit_reason,include_in_refined_semantic_review,refinement_source_table,manual_override,manual_override_note,term_norm_final_cleanup,final_cleanup_category,final_cleanup_reason,include_in_final_semantic_review,final_cleanup_source_table
51,1920-1945,freud himself,terms_bigram,686,11478,16,72,2.3324,0.6273,1.7051,3.8027,4.83084,freud himself,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,freud himself,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
52,1920-1945,klein melanie,terms_bigram,686,11478,13,9,1.895,0.0784,1.8166,23.7442,4.794198,klein melanie,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,klein melanie,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
53,1920-1945,helene deutsch,terms_bigram,686,11478,13,18,1.895,0.1568,1.7382,12.193,4.587267,helene deutsch,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,helene deutsch,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
54,1920-1945,young man,terms_bigram,686,11478,15,62,2.1866,0.5402,1.6464,4.1438,4.56486,young man,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,young man,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
57,1920-1945,schmideberg melitta,terms_bigram,686,11478,12,1,1.7493,0.0087,1.7406,139.2407,4.464445,schmideberg melitta,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,schmideberg melitta,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
58,1920-1945,vienna sigmund,terms_bigram,686,11478,12,3,1.7493,0.0261,1.7231,59.6746,4.419752,vienna sigmund,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,vienna sigmund,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
59,1920-1945,technique psycho-analysis,terms_bigram,686,11478,12,4,1.7493,0.0348,1.7144,46.4136,4.397405,technique psycho-analysis,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,technique psycho-analysis,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
60,1920-1945,sexual act,terms_bigram,686,11478,12,10,1.7493,0.0871,1.6621,19.8915,4.263325,sexual act,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,sexual act,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
61,1920-1945,father mother,terms_bigram,686,11478,12,19,1.7493,0.1655,1.5837,10.7108,4.062205,father mother,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,father mother,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
62,1920-1945,ferenczi ferenczi,terms_bigram,686,11478,11,0,1.6035,0.0,1.6035,384.3042,3.984544,ferenczi ferenczi,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,ferenczi ferenczi,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
64,1920-1945,vienna psycho-analytical,terms_bigram,686,11478,11,1,1.6035,0.0087,1.5948,128.1014,3.962895,vienna psycho-analytical,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,vienna psycho-analytical,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
65,1920-1945,vol iii,terms_bigram,686,11478,11,1,1.6035,0.0087,1.5948,128.1014,3.962895,vol iii,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,vol iii,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
66,1920-1945,congress marienbad,terms_bigram,686,11478,11,1,1.6035,0.0087,1.5948,128.1014,3.962895,congress marienbad,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,congress marienbad,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
67,1920-1945,phallic phase,terms_bigram,686,11478,12,25,1.7493,0.2178,1.5315,8.1906,3.928125,phallic phase,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,phallic phase,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
68,1920-1945,human beings,terms_bigram,686,11478,15,91,2.1866,0.7928,1.3938,2.8305,3.864345,human beings,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,human beings,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
69,1920-1945,journal psycho-analysis,terms_bigram,686,11478,12,32,1.7493,0.2788,1.4705,6.4265,3.771699,journal psycho-analysis,candidate_concept,kept_for_semantic_review,True,key_bigrams_by_period,,,journal psycho-analysis,final_keep,kept_after_final_cleanup,True,key_bigrams_by_period
