term,term_norm,semantic_family,semantic_action,semantic_confidence,mapping_rule,matched_pattern,n_family_matches,all_family_matches,review_flag,manual_override_family,manual_note,candidate_sources,candidate_journals,candidate_periods,max_keyness_score,max_pct_point_lift,max_doc_count,max_doc_pct
sostiene que,sostiene que,,unmapped,none,,,0,,manual_review_unmapped,,,key_bigrams_by_journal_period,ijpa,2010-2025,3.105053,1.1466,14.0,1.1466
sotiris zalidis,sotiris zalidis,,unmapped,none,,,0,,manual_review_unmapped,,,key_bigrams_by_journal_period,psychoanalytic_psychotherapy,1990-2009,2.926181,1.5038,6.0,1.5038
space,space,,unmapped,none,,,0,,manual_review_unmapped,,,global_core_terms_after_audit | key_terms_by_journal | key_terms_by_journal_period | key_terms_by_period,ijpa | psychoanalytic_dialogues,1990-2009 | 2010-2025,29.677023,6.3384,543.0,10.2589
specialist,specialist,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal | key_terms_by_journal_period,psychoanalytic_psychotherapy,1990-2009,10.046282,3.3133,27.0,3.5088
specifically,specifically,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal | key_terms_by_journal_period,psychoanalytic_psychology,1970-1989 | 2010-2025,14.174295,5.7042,71.0,8.9431
splitting,splitting,object_relations,mapped_initial,high,kleinian_object_relations_overlap,\bsplitting\b|\bparanoid[- ]schizoid\b|\bdepressive position\b,1,object_relations,,,,key_terms_by_journal_period,psychoanalytic_psychotherapy,1970-1989,19.158707,10.6927,5.0,12.8205
spring meeting,spring meeting,,unmapped,none,,,0,,manual_review_unmapped,,,key_bigrams_by_journal_period | key_bigrams_by_period,japa | psychoanalytic_psychology,1990-2009,2.292689,0.9226,25.0,1.1282
staff,staff,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal | key_terms_by_journal_period,psychoanalytic_psychotherapy,1970-1989 | 1990-2009 | 2010-2025,35.550494,8.5293,77.0,9.5238
stage,stage,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal_period,japa,1946-1969,13.775927,3.7603,38.0,7.0632
stage enter,stage enter,,unmapped,none,,,0,,manual_review_unmapped,,,key_bigrams_by_journal_period,psychoanalytic_psychotherapy,2010-2025,4.797052,2.0833,9.0,2.0833
stage winner,stage winner,,unmapped,none,,,0,,manual_review_unmapped,,,key_bigrams_by_journal_period,psychoanalytic_psychotherapy,2010-2025,4.797052,2.0833,9.0,2.0833
standard edition,standard edition,,unmapped,none,,,0,,manual_review_unmapped,,,key_bigrams_by_journal_period,ijpa,2010-2025,3.168943,1.1185,16.0,1.3104
stanley,stanley,,unmapped,none,,,0,,manual_review_unmapped,,,key_terms_by_journal | key_terms_by_journal_period,japa,1970-1989,8.217963,2.6209,57.0,3.2305
stanley coen,stanley coen,,unmapped,none,,,0,,manual_review_unmapped,,,global_core_bigrams_after_audit | key_bigrams_by_journal | key_bigrams_by_journal_period,japa,1970-1989 | 1990-2009,2.787958,1.0699,30.0,1.2308
starting point,starting point,,unmapped,none,,,0,,manual_review_unmapped,,,key_bigrams_by_journal | key_bigrams_by_journal_period,ijpa,1990-2009,2.596805,0.764,60.0,1.4327
