journal_key,period,semantic_family,n_articles,n_family_hits,n_articles_group,pct_articles_group
psychoanalytic_psychotherapy,1970-1989,kleinian_bionian,1,1,39,2.5641
psychoanalytic_psychotherapy,1970-1989,winnicottian_environment_holding,6,6,39,15.3846
psychoanalytic_psychotherapy,1970-1989,attachment_development_infant,17,17,39,43.5897
psychoanalytic_psychotherapy,1970-1989,transference_countertransference,6,6,39,15.3846
psychoanalytic_psychotherapy,1970-1989,technique_interpretation_process,10,10,39,25.641
psychoanalytic_psychotherapy,1970-1989,relational_intersubjective_field,13,13,39,33.3333
psychoanalytic_psychotherapy,1970-1989,trauma_dissociation_affect_regulation,7,7,39,17.9487
psychoanalytic_psychotherapy,1970-1989,psychosis_borderline_primitive_states,9,9,39,23.0769
psychoanalytic_psychotherapy,1970-1989,body_sexuality_gender,4,4,39,10.2564
psychoanalytic_psychotherapy,1970-1989,language_narrative_symbolization,4,4,39,10.2564
psychoanalytic_psychotherapy,1970-1989,culture_race_social_ethics,8,8,39,20.5128
psychoanalytic_psychotherapy,1970-1989,empirical_research_measurement,6,6,39,15.3846
psychoanalytic_psychotherapy,1970-1989,history_theory_schools,5,5,39,12.8205
psychoanalytic_psychotherapy,1990-2009,drive_conflict_defense,96,96,399,24.0602
psychoanalytic_psychotherapy,1990-2009,dream_fantasy_unconscious,66,66,399,16.5414
psychoanalytic_psychotherapy,1990-2009,ego_self_narcissism,91,91,399,22.807
psychoanalytic_psychotherapy,1990-2009,object_relations,98,98,399,24.5614
psychoanalytic_psychotherapy,1990-2009,kleinian_bionian,35,35,399,8.7719
psychoanalytic_psychotherapy,1990-2009,winnicottian_environment_holding,47,47,399,11.7794
psychoanalytic_psychotherapy,1990-2009,attachment_development_infant,139,139,399,34.8371
psychoanalytic_psychotherapy,1990-2009,transference_countertransference,70,70,399,17.5439
psychoanalytic_psychotherapy,1990-2009,technique_interpretation_process,102,102,399,25.5639
psychoanalytic_psychotherapy,1990-2009,relational_intersubjective_field,106,106,399,26.5664
psychoanalytic_psychotherapy,1990-2009,trauma_dissociation_affect_regulation,125,125,399,31.3283
psychoanalytic_psychotherapy,1990-2009,psychosis_borderline_primitive_states,69,69,399,17.2932
psychoanalytic_psychotherapy,1990-2009,body_sexuality_gender,50,50,399,12.5313
psychoanalytic_psychotherapy,1990-2009,language_narrative_symbolization,44,44,399,11.0276
psychoanalytic_psychotherapy,1990-2009,culture_race_social_ethics,69,69,399,17.2932
psychoanalytic_psychotherapy,1990-2009,empirical_research_measurement,79,79,399,19.7995
psychoanalytic_psychotherapy,1990-2009,history_theory_schools,33,33,399,8.2707
psychoanalytic_psychotherapy,2010-2025,drive_conflict_defense,85,85,432,19.6759
psychoanalytic_psychotherapy,2010-2025,dream_fantasy_unconscious,60,60,432,13.8889
psychoanalytic_psychotherapy,2010-2025,ego_self_narcissism,115,115,432,26.6204
psychoanalytic_psychotherapy,2010-2025,object_relations,80,80,432,18.5185
psychoanalytic_psychotherapy,2010-2025,kleinian_bionian,32,32,432,7.4074
psychoanalytic_psychotherapy,2010-2025,winnicottian_environment_holding,35,35,432,8.1019
psychoanalytic_psychotherapy,2010-2025,attachment_development_infant,154,154,432,35.6481
psychoanalytic_psychotherapy,2010-2025,transference_countertransference,52,52,432,12.037
psychoanalytic_psychotherapy,2010-2025,technique_interpretation_process,96,96,432,22.2222
psychoanalytic_psychotherapy,2010-2025,relational_intersubjective_field,171,171,432,39.5833
psychoanalytic_psychotherapy,2010-2025,trauma_dissociation_affect_regulation,161,161,432,37.2685
psychoanalytic_psychotherapy,2010-2025,psychosis_borderline_primitive_states,58,58,432,13.4259
psychoanalytic_psychotherapy,2010-2025,body_sexuality_gender,66,66,432,15.2778
psychoanalytic_psychotherapy,2010-2025,language_narrative_symbolization,53,53,432,12.2685
psychoanalytic_psychotherapy,2010-2025,culture_race_social_ethics,145,145,432,33.5648
psychoanalytic_psychotherapy,2010-2025,empirical_research_measurement,142,142,432,32.8704
psychoanalytic_psychotherapy,2010-2025,history_theory_schools,37,37,432,8.5648
