rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base
202,greenacre phyllis greenacre,3,18,9,0.308,2924
203,psychiatry albert einstein,3,18,17,0.581,2924
204,roy schafer roy,3,18,10,0.342,2924
205,schafer roy schafer,3,18,10,0.342,2924
206,new york hospital-cornell,3,18,16,0.547,2924
207,judy kantrowitz ann,3,18,6,0.205,2924
208,kantrowitz ann katz,3,18,6,0.205,2924
209,med cornell edu,3,18,17,0.581,2924
210,submitted publication october,3,18,18,0.616,2924
211,professor psychiatry weill,3,18,18,0.616,2924
212,london united kingdom,3,18,16,0.547,2924
213,san francisco email,3,18,18,0.616,2924
214,new directions writing,3,18,11,0.376,2924
215,hospital new york,3,17,15,0.513,2924
216,lichtenberg joseph lichtenberg,3,17,10,0.342,2924
217,narcissistic personality disorder,3,17,7,0.239,2924
218,york hospital-cornell medical,3,17,15,0.513,2924
219,faculty new york,3,17,17,0.581,2924
220,suite ann arbor,3,17,17,0.581,2924
221,william alanson white,3,17,15,0.513,2924
222,san francisco e-mail,3,17,16,0.547,2924
223,institute clinical professor,3,17,17,0.581,2924
224,floor new york,3,17,17,0.581,2924
225,michigan psychoanalytic institute,3,17,17,0.581,2924
226,stuart hauser stuart,3,17,14,0.479,2924
227,hauser stuart hauser,3,17,14,0.479,2924
228,ann arbor e-mail,3,17,17,0.581,2924
229,york january panelists,3,17,17,0.581,2924
230,sinai hospital new,3,16,14,0.479,2924
231,los angeles california,3,16,16,0.547,2924
232,lawrence friedman lawrence,3,16,11,0.376,2924
233,friedman lawrence friedman,3,16,11,0.376,2924
234,heinz kohut heinz,3,16,8,0.274,2924
235,kohut heinz kohut,3,16,8,0.274,2924
236,beyond pleasure principle,3,16,11,0.376,2924
237,martin stein martin,3,16,8,0.274,2924
238,stein martin stein,3,16,8,0.274,2924
239,charles brenner charles,3,16,8,0.274,2924
240,brenner charles brenner,3,16,8,0.274,2924
241,years after termination,3,16,8,0.274,2924
242,psychotherapy research project,3,16,10,0.342,2924
243,place new york,3,16,16,0.547,2924
244,avenue los angeles,3,16,16,0.547,2924
245,avenue chicago illinois,3,16,16,0.547,2924
246,hospital-cornell medical center,3,16,14,0.479,2924
247,arnold richards arnold,3,16,11,0.376,2924
248,richards arnold richards,3,16,11,0.376,2924
249,steven levy lawrence,3,16,7,0.239,2924
250,levy lawrence inderbitzin,3,16,7,0.239,2924
