keyword,first,second,ratio
śnienie,0.0,1.0,2.0
leczenie depresji,0.0,1.0,2.0
leczenie rozdzielone,0.0,1.0,2.0
leczenie sprawców wykorzystujących seksualnie dzieci,0.0,1.0,2.0
leki uspokajające,0.0,1.0,2.0
literatura autentyczna,0.0,1.0,2.0
jadłowstręt psychiczny,0.0,1.0,2.0
społeczność terapeutyczna,0.0,1.0,2.0
standardowe leczenie,0.0,1.0,2.0
standardy psychoterapii,0.0,1.0,2.0
starość,0.0,1.0,2.0
starzenie się,0.0,1.0,2.0
status empiryczny,0.0,1.0,2.0
strategia spożytkowania,0.0,1.0,2.0
strategiczna terapia rodzin,0.0,1.0,2.0
strategie radzenia sobie,0.0,1.0,2.0
stres,0.0,1.0,2.0
stres emocjonalny,0.0,1.0,2.0
studia przypadków,0.0,1.0,2.0
BPD,0.0,1.0,2.0
literatura terapeutyczna,0.0,1.0,2.0
lęk,0.0,1.0,2.0
lęk przed publicznym mówieniem,0.0,1.0,2.0
neuroplastyczność,0.0,1.0,2.0
neuropsychoanaliza,0.0,1.0,2.0
Bion,0.0,1.0,2.0
meta przekonania,0.0,1.0,2.0
metafora terapeutyczna,0.0,1.0,2.0
metodologia,0.0,1.0,2.0
mieszkanie chronione,0.0,1.0,2.0
milczenie,0.0,1.0,2.0
miłość,0.0,1.0,2.0
modele i asymetria relacji pomagania,0.0,1.0,2.0
monodrama,0.0,1.0,2.0
mutyzm wybiórczy,0.0,1.0,2.0
młodzi dorośli,0.0,1.0,2.0
młodzież,0.0,1.0,2.0
nadzieja na sukces,0.0,1.0,2.0
społeczeństwo,0.0,1.0,2.0
objawy niewyjaśnione medycznie,0.0,1.0,2.0
sens życia,0.0,1.0,2.0
sesja psychoterapii,0.0,1.0,2.0
setting,0.0,1.0,2.0
Bulimia,0.0,1.0,2.0
socjologia psychoterapii,0.0,1.0,2.0
sojusz roboczy,0.0,1.0,2.0
somatyzacja,0.0,1.0,2.0
narcyzm złośliwy,0.0,1.0,2.0
narracje o związku,0.0,1.0,2.0
narracyjna terapia więzi,0.0,1.0,2.0
narzędzie do badania narracji,0.0,1.0,2.0
"negatywna reakcja terapeutyczna, psychoterapia psychoanalityczna, relacja terapeutyczna",0.0,1.0,2.0
nerwica eklezjogenna,0.0,1.0,2.0
neuro-lingwistyczna psychoterapia,0.0,1.0,2.0
neuronauka,0.0,1.0,2.0
śmiechoterapia,0.0,1.0,2.0
samobójstwo psychiatry,0.0,1.0,2.0
samobójstwo psychologa,0.0,1.0,2.0
samouszkodzenia,0.0,1.0,2.0
satysfakcja z małżeństwa,0.0,1.0,2.0
satysfakcja z relacji,0.0,1.0,2.0
zachowania ryzykowne,0.0,1.0,2.0
niedojrzałość psychoseksualna,0.0,1.0,2.0
niejednoznaczna utrata,0.0,1.0,2.0
niemowlęctwo,0.0,1.0,2.0
niepełnosprawność intelektualna,0.0,1.0,2.0
nieprzystosowanie,0.0,1.0,2.0
niesłychane,0.0,1.0,2.0
niewymowne,0.0,1.0,2.0
zaburzenie wyrywania włosów,0.0,1.0,2.0
nowe media,0.0,1.0,2.0
zaburzenie stresowe pourazowe,0.0,1.0,2.0
"obraz ciała, samoocena, chemioterapia",0.0,1.0,2.0
obszary zadowolenia,0.0,1.0,2.0
oddział dzienny,0.0,1.0,2.0
oddział psychoterapeutyczny,0.0,1.0,2.0
zaburzenie polegające na unikaniu /ograniczaniu przyjmowania pokarmu,0.0,1.0,2.0
oddziaływania terapeutyczne,0.0,1.0,2.0
odporność psychiczna,0.0,1.0,2.0
odwrócenie ról w rodzinie,0.0,1.0,2.0
ograniczenia w psychoterapii,0.0,1.0,2.0
ojciec piersiujący,0.0,1.0,2.0
opieka prenatalna,0.0,1.0,2.0
rozwój psychoterapii,0.0,1.0,2.0
psychoterapia psychodynamiczna/psychoanalityczna,0.0,1.0,2.0
różnica,0.0,1.0,2.0
różnorodność płciowa,0.0,1.0,2.0
perspektywa czasowa,0.0,1.0,2.0
poczucie doznawania przemocy,0.0,1.0,2.0
opieka środowiskowa,0.0,1.0,2.0
"opiekunowie, choroba Alzheimera, psychoterapia",0.0,1.0,2.0
organizacja osobowości,0.0,1.0,2.0
orgazm,0.0,1.0,2.0
osobisty program terapeutyczny,0.0,1.0,2.0
osobowość antyspołeczna,0.0,1.0,2.0
otwarty dialog,0.0,1.0,2.0
pacjenci z doświadczeniem psychozy,0.0,1.0,2.0
pacjent,0.0,1.0,2.0
pacjent onkologiczny,0.0,1.0,2.0
pamięć Zagłady,0.0,1.0,2.0
pamięć autobiograficzna,0.0,1.0,2.0
pamięć wielokierunkowa,0.0,1.0,2.0
pandemia COVID-19,0.0,1.0,2.0
poród,0.0,1.0,2.0
postawy rodziców względem osiągnięć intelektualnych dziecka,0.0,1.0,2.0
postpsychiatria,0.0,1.0,2.0
retrospektywna ocena postaw rodziców,0.0,1.0,2.0
reverie,0.0,1.0,2.0
rezyliencja,0.0,1.0,2.0
rodzicielstwo,0.0,1.0,2.0
rodzina,0.0,1.0,2.0
rodzina w sytuacji rozstania,0.0,1.0,2.0
Rodziny adopcyjne,0.0,1.0,2.0
rozumienie psychodynamiczne,0.0,1.0,2.0
pandemia SARS-CoV-2,0.0,1.0,2.0
pandemia covid-19,0.0,1.0,2.0
patologiczne skubanie skóry,0.0,1.0,2.0
patriarchat,0.0,1.0,2.0
perfekcjonizm,0.0,1.0,2.0
profilaktyka depresji,0.0,1.0,2.0
program edukacyjny,0.0,1.0,2.0
program stażowy,0.0,1.0,2.0
poczucie osamotnienia,0.0,1.0,2.0
poczucie stosowania przemocy,0.0,1.0,2.0
początkujący terapeuta,0.0,1.0,2.0
podejście integracyjne,0.0,1.0,2.0
podejście relacyjne,0.0,1.0,2.0
podmiotowo zorientowana psychoterapia integracyjna,0.0,1.0,2.0
podstawowa opieka zdrowotna,0.0,1.0,2.0
podwójne związanie,0.0,1.0,2.0
pokolenia polskich psychoterapeutów,0.0,1.0,2.0
polityka,0.0,1.0,2.0
pomoc psychologiczna online,0.0,1.0,2.0
pomoc psychologiczna po stracie dziecka,0.0,1.0,2.0
pomoc psychologiczno - pedagogiczna,0.0,1.0,2.0
relacja lekarz-pacjent,0.0,1.0,2.0
4FM,0.0,1.0,2.0
Ericksonowska hipnoterapia,0.0,1.0,2.0
Hamlet,0.0,1.0,2.0
Humor w psychoterapii,0.0,1.0,2.0
relacje w rodzinie,0.0,1.0,2.0
relacje z obiektem,0.0,1.0,2.0
postwencja,0.0,1.0,2.0
postępowanie terapeutyczne,0.0,1.0,2.0
potrzeby w superwizji,0.0,1.0,2.0
pozostawieni,0.0,1.0,2.0
pozytywna psychoterapia behawioralno-poznawcza,0.0,1.0,2.0
praktyka psychoterapeutyczna oparta na dowodach naukowych,0.0,1.0,2.0
prewencja zaburzeń psychicznych,0.0,1.0,2.0
problemy etyczne,0.0,1.0,2.0
ICD-10,0.0,1.0,2.0
przemoc,0.0,1.0,2.0
Intepersonal Process Recall,0.0,1.0,2.0
przemoc w relacji intymnej,0.0,1.0,2.0
przemoc w związkach intymnych,0.0,1.0,2.0
przeniesienie i przeciwprzeniesienie,0.0,1.0,2.0
przewlekła choroba dziecka,0.0,1.0,2.0
przewlekłe hlucynacje słuchowe,0.0,1.0,2.0
przeżycia,0.0,1.0,2.0
przystosowanie,0.0,1.0,2.0
Jaspers,0.0,1.0,2.0
psychiatria dzieci i młodzieży,0.0,1.0,2.0
recydywa,0.0,1.0,2.0
reforma psychoterapii,0.0,1.0,2.0
regresja,0.0,1.0,2.0
rehabilitacja psychiatryczna,0.0,1.0,2.0
reklama,0.0,1.0,2.0
Jay Haley,0.0,1.0,2.0
psychoterapia indywidualna,0.0,1.0,2.0
Kompleksowy Model Behawioralny,0.0,1.0,2.0
psychoteraputa,0.0,1.0,2.0
rozjaśnianie egzystencji,0.0,1.0,2.0
psychozy,0.0,1.0,2.0
zajęcia terapeutyczne,0.0,1.0,2.0
płeć biologiczna,0.0,1.0,2.0
radzenie sobie ze stresem,0.0,1.0,2.0
psychoanalityczna psychoterapia par,0.0,1.0,2.0
psychoanalityczna psychoterapia rodzic- niemowlę,0.0,1.0,2.0
zamartwianie się,0.0,1.0,2.0
psychodynamiczna psychoterapia młodzieży,0.0,1.0,2.0
psychologia pozytywna,0.0,1.0,2.0
przeciwprzeniesienie,0.0,1.0,2.0
przekształcenia,0.0,1.0,2.0
psychoterapia rodzic-niemowlę,0.0,1.0,2.0
zasady i techniki terapii,0.0,1.0,2.0
psychoterapia uprzedzenia płciowe,0.0,1.0,2.0
psychoterapia w chirurgii,0.0,1.0,2.0
psychoterapia w internecie,0.0,1.0,2.0
psychoterapia zdalna,0.0,1.0,2.0
