rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base,semantic_review_status,candidate_reason,suggested_family
30,psychoanalytic process,2,166,101,1.862,5423,pending,ijpa_high_frequency_recon,technique_process
31,thomas ogden,2,166,41,0.756,5423,pending,ijpa_high_frequency_recon,
32,street new,2,164,161,2.969,5423,pending,ijpa_high_frequency_recon,
33,road london,2,163,161,2.969,5423,pending,ijpa_high_frequency_recon,
34,death instinct,2,160,72,1.328,5423,pending,ijpa_high_frequency_recon,
35,one hand,2,153,151,2.784,5423,pending,ijpa_high_frequency_recon,
36,clinical practice,2,151,113,2.084,5423,pending,ijpa_high_frequency_recon,
37,theory practice,2,150,112,2.065,5423,pending,ijpa_high_frequency_recon,
38,years ago,2,150,137,2.526,5423,pending,ijpa_high_frequency_recon,
39,mental life,2,149,124,2.287,5423,pending,ijpa_high_frequency_recon,
40,psycho-analytical society,2,148,97,1.789,5423,pending,ijpa_high_frequency_recon,
41,psychoanalysis runninghead,2,145,145,2.674,5423,pending,ijpa_high_frequency_recon,
42,rachel blass,2,142,44,0.811,5423,pending,ijpa_high_frequency_recon,
43,psychic change,2,140,50,0.922,5423,pending,ijpa_high_frequency_recon,
44,psychoanalytic society,2,136,88,1.623,5423,pending,ijpa_high_frequency_recon,
45,san francisco,2,135,117,2.157,5423,pending,ijpa_high_frequency_recon,
46,transference neurosis,2,134,77,1.42,5423,pending,ijpa_high_frequency_recon,transference_countertransference
47,international journal,2,132,85,1.567,5423,pending,ijpa_high_frequency_recon,
48,distinction between,2,131,116,2.139,5423,pending,ijpa_high_frequency_recon,
49,psychoanalytic technique,2,128,72,1.328,5423,pending,ijpa_high_frequency_recon,technique_process
50,defence mechanisms,2,128,79,1.457,5423,pending,ijpa_high_frequency_recon,
51,pleasure principle,2,127,84,1.549,5423,pending,ijpa_high_frequency_recon,
52,object relationships,2,127,87,1.604,5423,pending,ijpa_high_frequency_recon,object_relations
53,transference countertransference,2,126,101,1.862,5423,pending,ijpa_high_frequency_recon,transference_countertransference
54,external world,2,125,92,1.696,5423,pending,ijpa_high_frequency_recon,
