article_id,article_url,year,volume,issue_number,title,keyword_order,keyword_raw,keyword_norm,keyword_final_en,keyword_final_polish,keyword_semantic_id,semantic_actions,translation_method,semantic_confidence,review_flag,keyword_url,normalization_actions,keyword_norm_id
134709,"https://www.archivespp.pl/Editorial,134709,0,2.html",2021,23,1,Editorial,1,editorial,editorial,editorial,editorial,app_sem_0520,no_semantic_change,glossary_exact,high,exclude_candidate_editorial,https://www.archivespp.pl/Keyword-editorial/4090,unchanged,app_kw_0538
134709,"https://www.archivespp.pl/Editorial,134709,0,2.html",2021,23,1,Editorial,2,editorial 1,editorial 1,editorial,editorial,app_sem_0520,exact_map:editorial 1->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+1/160554,unchanged,app_kw_0539
134709,"https://www.archivespp.pl/Editorial,134709,0,2.html",2021,23,1,Editorial,3,editorial 2,editorial 2,editorial,editorial,app_sem_0520,exact_map:editorial 2->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+2/160555,unchanged,app_kw_0540
139249,"https://www.archivespp.pl/From-Editors,139249,0,2.html",2021,23,2,From Editors,1,editorial 1,editorial 1,editorial,editorial,app_sem_0520,exact_map:editorial 1->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+1/160554,unchanged,app_kw_0539
139249,"https://www.archivespp.pl/From-Editors,139249,0,2.html",2021,23,2,From Editors,2,editorial 2,editorial 2,editorial,editorial,app_sem_0520,exact_map:editorial 2->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+2/160555,unchanged,app_kw_0540
139249,"https://www.archivespp.pl/From-Editors,139249,0,2.html",2021,23,2,From Editors,3,editorial 3,editorial 3,editorial,editorial,app_sem_0520,exact_map:editorial 3->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+3/354963,unchanged,app_kw_0541
142046,"https://www.archivespp.pl/Editorial,142046,0,2.html",2021,23,3,Editorial,1,editorial,editorial,editorial,editorial,app_sem_0520,no_semantic_change,glossary_exact,high,exclude_candidate_editorial,https://www.archivespp.pl/Keyword-editorial/4090,unchanged,app_kw_0538
142046,"https://www.archivespp.pl/Editorial,142046,0,2.html",2021,23,3,Editorial,2,editorial 1,editorial 1,editorial,editorial,app_sem_0520,exact_map:editorial 1->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+1/160554,unchanged,app_kw_0539
142046,"https://www.archivespp.pl/Editorial,142046,0,2.html",2021,23,3,Editorial,3,editorial2,editorial2,editorial,editorial,app_sem_0520,exact_map:editorial2->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial2/285465,unchanged,app_kw_0545
144542,"https://www.archivespp.pl/Editorial,144542,0,2.html",2021,23,4,Editorial,1,editorial,editorial,editorial,editorial,app_sem_0520,no_semantic_change,glossary_exact,high,exclude_candidate_editorial,https://www.archivespp.pl/Keyword-editorial/4090,unchanged,app_kw_0538
144542,"https://www.archivespp.pl/Editorial,144542,0,2.html",2021,23,4,Editorial,2,editorial 1,editorial 1,editorial,editorial,app_sem_0520,exact_map:editorial 1->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+1/160554,unchanged,app_kw_0539
144542,"https://www.archivespp.pl/Editorial,144542,0,2.html",2021,23,4,Editorial,3,editorial 2,editorial 2,editorial,editorial,app_sem_0520,exact_map:editorial 2->editorial,glossary_exact,high,exclude_candidate_editorial|semantic_merge_audit,https://www.archivespp.pl/Keyword-editorial+2/160555,unchanged,app_kw_0540
