article_id,article_url,year,volume,issue_number,title,keyword_order,keyword_raw,keyword_url,keyword_norm,normalization_actions,keyword_norm_id,qa_flags
139249,"https://www.archivespp.pl/From-Editors,139249,0,2.html",2021,23,2,From Editors,3,editorial 3,https://www.archivespp.pl/Keyword-editorial+3/354963,editorial 3,unchanged,app_kw_0541,contains_editorial
142046,"https://www.archivespp.pl/Editorial,142046,0,2.html",2021,23,3,Editorial,1,editorial,https://www.archivespp.pl/Keyword-editorial/4090,editorial,unchanged,app_kw_0538,contains_editorial
142046,"https://www.archivespp.pl/Editorial,142046,0,2.html",2021,23,3,Editorial,2,editorial 1,https://www.archivespp.pl/Keyword-editorial+1/160554,editorial 1,unchanged,app_kw_0539,contains_editorial
144542,"https://www.archivespp.pl/Editorial,144542,0,2.html",2021,23,4,Editorial,1,editorial,https://www.archivespp.pl/Keyword-editorial/4090,editorial,unchanged,app_kw_0538,contains_editorial
144542,"https://www.archivespp.pl/Editorial,144542,0,2.html",2021,23,4,Editorial,2,editorial 1,https://www.archivespp.pl/Keyword-editorial+1/160554,editorial 1,unchanged,app_kw_0539,contains_editorial
144542,"https://www.archivespp.pl/Editorial,144542,0,2.html",2021,23,4,Editorial,3,editorial 2,https://www.archivespp.pl/Keyword-editorial+2/160555,editorial 2,unchanged,app_kw_0540,contains_editorial
147328,"https://www.archivespp.pl/Editorial,147328,0,2.html",2022,24,1,Editorial,1,editorial,https://www.archivespp.pl/Keyword-editorial/4090,editorial,unchanged,app_kw_0538,contains_editorial
147328,"https://www.archivespp.pl/Editorial,147328,0,2.html",2022,24,1,Editorial,2,editorial 1,https://www.archivespp.pl/Keyword-editorial+1/160554,editorial 1,unchanged,app_kw_0539,contains_editorial
147328,"https://www.archivespp.pl/Editorial,147328,0,2.html",2022,24,1,Editorial,3,editorial 2,https://www.archivespp.pl/Keyword-editorial+2/160555,editorial 2,unchanged,app_kw_0540,contains_editorial
150709,"https://www.archivespp.pl/Editorial,150709,0,2.html",2022,24,2,Editorial,1,editorial,https://www.archivespp.pl/Keyword-editorial/4090,editorial,unchanged,app_kw_0538,contains_editorial
150709,"https://www.archivespp.pl/Editorial,150709,0,2.html",2022,24,2,Editorial,2,editorial 1,https://www.archivespp.pl/Keyword-editorial+1/160554,editorial 1,unchanged,app_kw_0539,contains_editorial
150709,"https://www.archivespp.pl/Editorial,150709,0,2.html",2022,24,2,Editorial,3,editorial 2,https://www.archivespp.pl/Keyword-editorial+2/160555,editorial 2,unchanged,app_kw_0540,contains_editorial
154925,"https://www.archivespp.pl/Editorial,154925,0,2.html",2022,24,3,Editorial,1,editorial,https://www.archivespp.pl/Keyword-editorial/4090,editorial,unchanged,app_kw_0538,contains_editorial
154925,"https://www.archivespp.pl/Editorial,154925,0,2.html",2022,24,3,Editorial,2,editorial 1,https://www.archivespp.pl/Keyword-editorial+1/160554,editorial 1,unchanged,app_kw_0539,contains_editorial
154925,"https://www.archivespp.pl/Editorial,154925,0,2.html",2022,24,3,Editorial,3,editorial 2,https://www.archivespp.pl/Keyword-editorial+2/160555,editorial 2,unchanged,app_kw_0540,contains_editorial
157046,"https://www.archivespp.pl/Editorial,157046,0,2.html",2022,24,4,Editorial,1,editorial,https://www.archivespp.pl/Keyword-editorial/4090,editorial,unchanged,app_kw_0538,contains_editorial
157046,"https://www.archivespp.pl/Editorial,157046,0,2.html",2022,24,4,Editorial,2,editorial 1,https://www.archivespp.pl/Keyword-editorial+1/160554,editorial 1,unchanged,app_kw_0539,contains_editorial
157046,"https://www.archivespp.pl/Editorial,157046,0,2.html",2022,24,4,Editorial,3,editorial 2,https://www.archivespp.pl/Keyword-editorial+2/160555,editorial 2,unchanged,app_kw_0540,contains_editorial
162354,"https://www.archivespp.pl/Editorial,162354,0,2.html",2023,25,1,Editorial,1,editorial,https://www.archivespp.pl/Keyword-editorial/4090,editorial,unchanged,app_kw_0538,contains_editorial
162354,"https://www.archivespp.pl/Editorial,162354,0,2.html",2023,25,1,Editorial,2,editorial 1,https://www.archivespp.pl/Keyword-editorial+1/160554,editorial 1,unchanged,app_kw_0539,contains_editorial
162354,"https://www.archivespp.pl/Editorial,162354,0,2.html",2023,25,1,Editorial,3,editorial 2,https://www.archivespp.pl/Keyword-editorial+2/160555,editorial 2,unchanged,app_kw_0540,contains_editorial
168872,"https://www.archivespp.pl/Editorial,168872,0,2.html",2023,25,2,Editorial,1,editorial,https://www.archivespp.pl/Keyword-editorial/4090,editorial,unchanged,app_kw_0538,contains_editorial
168872,"https://www.archivespp.pl/Editorial,168872,0,2.html",2023,25,2,Editorial,2,editorial 1,https://www.archivespp.pl/Keyword-editorial+1/160554,editorial 1,unchanged,app_kw_0539,contains_editorial
168872,"https://www.archivespp.pl/Editorial,168872,0,2.html",2023,25,2,Editorial,3,editorial 2,https://www.archivespp.pl/Keyword-editorial+2/160555,editorial 2,unchanged,app_kw_0540,contains_editorial
172874,"https://www.archivespp.pl/From-editors,172874,0,2.html",2023,25,3,From editors,1,editorial,https://www.archivespp.pl/Keyword-editorial/4090,editorial,unchanged,app_kw_0538,contains_editorial
172874,"https://www.archivespp.pl/From-editors,172874,0,2.html",2023,25,3,From editors,2,editorial 1,https://www.archivespp.pl/Keyword-editorial+1/160554,editorial 1,unchanged,app_kw_0539,contains_editorial
172874,"https://www.archivespp.pl/From-editors,172874,0,2.html",2023,25,3,From editors,3,editorial 2,https://www.archivespp.pl/Keyword-editorial+2/160555,editorial 2,unchanged,app_kw_0540,contains_editorial
176266,"https://www.archivespp.pl/Editorial,176266,0,2.html",2023,25,4,Editorial,1,editorial,https://www.archivespp.pl/Keyword-editorial/4090,editorial,unchanged,app_kw_0538,contains_editorial
176266,"https://www.archivespp.pl/Editorial,176266,0,2.html",2023,25,4,Editorial,2,editorial 1,https://www.archivespp.pl/Keyword-editorial+1/160554,editorial 1,unchanged,app_kw_0539,contains_editorial
176266,"https://www.archivespp.pl/Editorial,176266,0,2.html",2023,25,4,Editorial,3,editorial 2,https://www.archivespp.pl/Keyword-editorial+2/160555,editorial 2,unchanged,app_kw_0540,contains_editorial
186675,"https://www.archivespp.pl/Editorial,186675,0,2.html",2024,26,1,Editorial,1,editorial,https://www.archivespp.pl/Keyword-editorial/4090,editorial,unchanged,app_kw_0538,contains_editorial
186675,"https://www.archivespp.pl/Editorial,186675,0,2.html",2024,26,1,Editorial,2,editorial 1,https://www.archivespp.pl/Keyword-editorial+1/160554,editorial 1,unchanged,app_kw_0539,contains_editorial
186675,"https://www.archivespp.pl/Editorial,186675,0,2.html",2024,26,1,Editorial,3,editorial 2,https://www.archivespp.pl/Keyword-editorial+2/160555,editorial 2,unchanged,app_kw_0540,contains_editorial
190383,"https://www.archivespp.pl/Editorial,190383,0,2.html",2024,26,2,Editorial,1,editorial 1,https://www.archivespp.pl/Keyword-editorial+1/160554,editorial 1,unchanged,app_kw_0539,contains_editorial
190383,"https://www.archivespp.pl/Editorial,190383,0,2.html",2024,26,2,Editorial,2,editorial 2,https://www.archivespp.pl/Keyword-editorial+2/160555,editorial 2,unchanged,app_kw_0540,contains_editorial
190383,"https://www.archivespp.pl/Editorial,190383,0,2.html",2024,26,2,Editorial,3,editorial 3,https://www.archivespp.pl/Keyword-editorial+3/354963,editorial 3,unchanged,app_kw_0541,contains_editorial
192586,"https://www.archivespp.pl/Editorial,192586,0,2.html",2024,26,3,Editorial,1,editorial,https://www.archivespp.pl/Keyword-editorial/4090,editorial,unchanged,app_kw_0538,contains_editorial
192586,"https://www.archivespp.pl/Editorial,192586,0,2.html",2024,26,3,Editorial,2,editorial 1,https://www.archivespp.pl/Keyword-editorial+1/160554,editorial 1,unchanged,app_kw_0539,contains_editorial
192586,"https://www.archivespp.pl/Editorial,192586,0,2.html",2024,26,3,Editorial,3,editorial 2,https://www.archivespp.pl/Keyword-editorial+2/160555,editorial 2,unchanged,app_kw_0540,contains_editorial
200265,"https://www.archivespp.pl/Editorial,200265,0,2.html",2024,26,4,Editorial,2,Editorial,https://www.archivespp.pl/Keyword-Editorial/367395,editorial,lowercase,app_kw_0538,contains_editorial
207340,"https://www.archivespp.pl/Editorial,207340,0,2.html",2025,27,2,Editorial,1,editorial,https://www.archivespp.pl/Keyword-editorial/4090,editorial,unchanged,app_kw_0538,contains_editorial
207340,"https://www.archivespp.pl/Editorial,207340,0,2.html",2025,27,2,Editorial,2,editorial 2,https://www.archivespp.pl/Keyword-editorial+2/160555,editorial 2,unchanged,app_kw_0540,contains_editorial
207340,"https://www.archivespp.pl/Editorial,207340,0,2.html",2025,27,2,Editorial,3,editorial 3,https://www.archivespp.pl/Keyword-editorial+3/354963,editorial 3,unchanged,app_kw_0541,contains_editorial
211687,"https://www.archivespp.pl/From-editors,211687,0,2.html",2025,27,3,From editors,1,editorial,https://www.archivespp.pl/Keyword-editorial/4090,editorial,unchanged,app_kw_0538,contains_editorial
211687,"https://www.archivespp.pl/From-editors,211687,0,2.html",2025,27,3,From editors,2,editorial 2,https://www.archivespp.pl/Keyword-editorial+2/160555,editorial 2,unchanged,app_kw_0540,contains_editorial
211687,"https://www.archivespp.pl/From-editors,211687,0,2.html",2025,27,3,From editors,3,editorial 3,https://www.archivespp.pl/Keyword-editorial+3/354963,editorial 3,unchanged,app_kw_0541,contains_editorial
211687,"https://www.archivespp.pl/From-editors,211687,0,2.html",2025,27,3,From editors,4,editorial 4,https://www.archivespp.pl/Keyword-editorial+4/702995,editorial 4,unchanged,app_kw_0542,contains_editorial
215842,"https://www.archivespp.pl/Editorial,215842,0,2.html",2025,27,4,Editorial,1,Editorial Editorial 1,https://www.archivespp.pl/Keyword-Editorial+Editorial+1/723925,editorial editorial 1,lowercase,app_kw_0543,contains_editorial
215842,"https://www.archivespp.pl/Editorial,215842,0,2.html",2025,27,4,Editorial,2,editorial 2,https://www.archivespp.pl/Keyword-editorial+2/160555,editorial 2,unchanged,app_kw_0540,contains_editorial
215842,"https://www.archivespp.pl/Editorial,215842,0,2.html",2025,27,4,Editorial,3,editorial 3,https://www.archivespp.pl/Keyword-editorial+3/354963,editorial 3,unchanged,app_kw_0541,contains_editorial
