keyword_raw,keyword_norm,keyword_norm_id,normalization_actions,n_records,n_articles,first_year,last_year
autoaggresion,autoaggresion,app_kw_0141,unchanged,1,1,2015,2015
autocreation,autocreation,app_kw_0142,unchanged,1,1,2015,2015
autoimmune disease,autoimmune disease,app_kw_0143,unchanged,1,1,2025,2025
Autoimmune Encephalitis,autoimmune encephalitis,app_kw_0144,lowercase,1,1,2025,2025
automatic action,automatic action,app_kw_0145,unchanged,1,1,2014,2014
automatic thought,automatic thought,app_kw_0146,unchanged,1,1,2012,2012
autonomous motivation,autonomous motivation,app_kw_0147,unchanged,1,1,2016,2016
autonomy,autonomy,app_kw_0148,unchanged,2,2,2010,2016
Balint group,balint group,app_kw_0149,lowercase,1,1,2022,2022
Balint groups,balint groups,app_kw_0150,lowercase,1,1,2011,2011
behavioral addictions,behavioral addictions,app_kw_0151,unchanged,1,1,2024,2024
behaviorism,behaviorism,app_kw_0152,unchanged,1,1,2008,2008
Bentus,bentus,app_kw_0153,lowercase,1,1,2006,2006
Bert Hellinger,bert hellinger,app_kw_0154,lowercase,1,1,2011,2011
bifactor model,bifactor model,app_kw_0155,unchanged,1,1,2021,2021
Big Five,big five,app_kw_0156,lowercase,1,1,2015,2015
BIID,biid,app_kw_0157,lowercase,1,1,2021,2021
binge eating disorder (BED),binge eating disorder (bed),app_kw_0158,lowercase,1,1,2013,2013
binging,binging,app_kw_0159,unchanged,1,1,2015,2015
bioactive compounds,bioactive compounds,app_kw_0160,unchanged,1,1,2020,2020
bioelectrical impedance analysis,bioelectrical impedance analysis,app_kw_0161,unchanged,1,1,2014,2014
bioethics,bioethics,app_kw_0162,unchanged,1,1,2016,2016
Biographic traumata,biographic traumata,app_kw_0163,lowercase,1,1,2016,2016
biographical narration,biographical narration,app_kw_0164,unchanged,1,1,2015,2015
biography,biography,app_kw_0165,unchanged,1,1,2019,2019
Bion's theory,bion's theory,app_kw_0166,lowercase,1,1,2010,2010
biopsychosocial,biopsychosocial,app_kw_0167,unchanged,2,2,2017,2017
bipolar affective disorder,bipolar affective disorder,app_kw_0168,unchanged,2,2,2006,2010
bipolar affective illness,bipolar affective illness,app_kw_0169,unchanged,1,1,2008,2008
bipolar disorder,bipolar disorder,app_kw_0170,unchanged,12,12,2005,2018
bipolar disorders,bipolar disorders,app_kw_0171,unchanged,5,5,2013,2022
bipolar mood disorders,bipolar mood disorders,app_kw_0172,unchanged,1,1,2016,2016
bipolar spectrum,bipolar spectrum,app_kw_0173,unchanged,1,1,2009,2009
birding,birding,app_kw_0174,unchanged,1,1,2023,2023
bisexual men,bisexual men,app_kw_0175,unchanged,1,1,2023,2023
bisexuality,bisexuality,app_kw_0176,unchanged,1,1,2017,2017
bleeding,bleeding,app_kw_0177,unchanged,1,1,2012,2012
blindness,blindness,app_kw_0178,unchanged,1,1,2022,2022
blood,blood,app_kw_0179,unchanged,1,1,2012,2012
Body Attitude Test,body attitude test,app_kw_0180,lowercase,1,1,2014,2014
body attitudes,body attitudes,app_kw_0181,unchanged,1,1,2016,2016
Body Composition,body composition,app_kw_0182,lowercase,2,2,2014,2014
body dissatisfaction,body dissatisfaction,app_kw_0183,unchanged,2,2,2016,2017
body esteem,body esteem,app_kw_0184,unchanged,1,1,2024,2024
body image,body image,app_kw_0185,unchanged,8,8,2010,2017
Body image concern,body image concern,app_kw_0186,lowercase,1,1,2018,2018
body image disturbance,body image disturbance,app_kw_0187,unchanged,1,1,2011,2011
body image perception,body image perception,app_kw_0188,unchanged,1,1,2016,2016
body mass index,body mass index,app_kw_0189,unchanged,2,2,2023,2025
body percept,body percept,app_kw_0190,unchanged,1,1,2010,2010
body self,body self,app_kw_0191,unchanged,1,1,2011,2011
borderline functioning,borderline functioning,app_kw_0192,unchanged,1,1,2016,2016
borderline patients,borderline patients,app_kw_0193,unchanged,1,1,2012,2012
Borderline Personality Disorder,borderline personality disorder,app_kw_0194,lowercase,1,1,2010,2010
borderline personality disorder,borderline personality disorder,app_kw_0194,unchanged,7,7,2005,2024
Bowen’s theory,bowen's theory,app_kw_0195,lowercase|typographic_chars,1,1,2017,2017
BPD,bpd,app_kw_0196,lowercase,1,1,2013,2013
brain-behavioral functions,brain-behavioral functions,app_kw_0197,unchanged,1,1,2020,2020
brain-derived,brain-derived,app_kw_0198,unchanged,1,1,2010,2010
Brain-Derived Neurotrophic Factor (BDNF) gene,brain-derived neurotrophic factor (bdnf) gene,app_kw_0199,lowercase,1,1,2006,2006
Brainspotting therapy,brainspotting therapy,app_kw_0200,lowercase,1,1,2022,2022
BRCA gene mutation,brca gene mutation,app_kw_0201,lowercase,1,1,2022,2022
BRCA1,brca1,app_kw_0202,lowercase,2,2,2019,2020
BRCA2,brca2,app_kw_0203,lowercase,1,1,2019,2019
Break up,break up,app_kw_0204,lowercase,1,1,2018,2018
breast cancer,breast cancer,app_kw_0205,unchanged,1,1,2008,2008
Breast reduction surgery,breast reduction surgery,app_kw_0206,lowercase,1,1,2021,2021
breastfeeding,breastfeeding,app_kw_0207,unchanged,1,1,2023,2023
breastfeeding self-efficacy,breastfeeding self-efficacy,app_kw_0208,unchanged,1,1,2016,2016
Breath-holding,breath-holding,app_kw_0209,lowercase,1,1,2006,2006
brief intervention,brief intervention,app_kw_0210,unchanged,1,1,2021,2021
brief psychotic disorder,brief psychotic disorder,app_kw_0211,unchanged,1,1,2018,2018
broken heart,broken heart,app_kw_0212,unchanged,1,1,2013,2013
bulimia,bulimia,app_kw_0213,unchanged,3,3,2010,2014
bulimia nervosa,bulimia nervosa,app_kw_0214,unchanged,6,6,2008,2020
bulling,bulling,app_kw_0215,unchanged,1,1,2019,2019
buprenorphine,buprenorphine,app_kw_0216,unchanged,1,1,2020,2020
burden,burden,app_kw_0217,unchanged,1,1,2017,2017
burnout,burnout,app_kw_0218,unchanged,7,7,2014,2020
cancer,cancer,app_kw_0219,unchanged,3,3,2017,2022
cannabis,cannabis,app_kw_0220,unchanged,2,2,2017,2024
capacity,capacity,app_kw_0221,unchanged,1,1,2009,2009
CAQ -Clinical Analysis Questionnaire,caq-clinical analysis questionnaire,app_kw_0222,lowercase|hyphen_spacing,1,1,2010,2010
CAR,car,app_kw_0223,lowercase,1,1,2023,2023
cardiac patients,cardiac patients,app_kw_0224,unchanged,3,3,2017,2019
cardiac syndrome X,cardiac syndrome x,app_kw_0225,lowercase,1,1,2009,2009
cardiomyopathy,cardiomyopathy,app_kw_0226,unchanged,2,2,2013,2013
cardiovascular risk,cardiovascular risk,app_kw_0227,unchanged,1,1,2014,2014
care relationship,care relationship,app_kw_0228,unchanged,1,1,2024,2024
caregiver,caregiver,app_kw_0229,unchanged,1,1,2017,2017
caregivers,caregivers,app_kw_0230,unchanged,1,1,2017,2017
case study,case study,app_kw_0231,unchanged,4,4,2005,2022
catatonia,catatonia,app_kw_0232,unchanged,1,1,2016,2016
caudate nucleus,caudate nucleus,app_kw_0233,unchanged,1,1,2025,2025
CBCL score,cbcl score,app_kw_0234,lowercase,1,1,2014,2014
CBT,cbt,app_kw_0235,lowercase,4,4,2016,2023
CCRT,ccrt,app_kw_0236,lowercase,2,2,2010,2013
cerebellar,cerebellar,app_kw_0237,unchanged,1,1,2013,2013
cerebellum,cerebellum,app_kw_0238,unchanged,1,1,2013,2013
cerebral and cerebellar atrophy,cerebral and cerebellar atrophy,app_kw_0239,unchanged,1,1,2008,2008
CFTMEA,cftmea,app_kw_0240,lowercase,1,1,2014,2014
change,change,app_kw_0241,unchanged,1,1,2008,2008
change in consultation frequency,change in consultation frequency,app_kw_0242,unchanged,1,1,2009,2009
