keyword_raw,keyword_norm,keyword_norm_id,normalization_actions,n_records,n_articles,first_year,last_year
computer-assisted image processing,computer-assisted image processing,app_kw_0350,unchanged,2,2,2023,2025
concentration,concentration,app_kw_0351,unchanged,1,1,2022,2022
conditional release,conditional release,app_kw_0352,unchanged,1,1,2010,2010
Conduct Disorder,conduct disorder,app_kw_0353,lowercase,1,1,2021,2021
confirmatory factor analysis,confirmatory factor analysis,app_kw_0354,unchanged,1,1,2022,2022
conflict,conflict,app_kw_0355,unchanged,2,2,2006,2016
connective tissue diseases,connective tissue diseases,app_kw_0356,unchanged,1,1,2013,2013
Conners Scale,conners scale,app_kw_0357,lowercase,1,1,2020,2020
consent capacity,consent capacity,app_kw_0358,unchanged,1,1,2020,2020
Contact Centre,contact centre,app_kw_0359,lowercase,1,1,2023,2023
contact with the patient,contact with the patient,app_kw_0360,unchanged,1,1,2011,2011
containment measures,containment measures,app_kw_0361,unchanged,1,1,2020,2020
context and motivation to the treatment,context and motivation to the treatment,app_kw_0362,unchanged,1,1,2005,2005
control,control,app_kw_0363,unchanged,1,1,2008,2008
conversational artificial intelligence,conversational artificial intelligence,app_kw_0364,unchanged,1,1,2023,2023
convicted sexual offenders,convicted sexual offenders,app_kw_0365,unchanged,1,1,2024,2024
coping,coping,app_kw_0366,unchanged,5,5,2007,2024
coping methods,coping methods,app_kw_0367,unchanged,1,1,2025,2025
coping pathophysiology,coping pathophysiology,app_kw_0368,unchanged,1,1,2013,2013
coping patterns,coping patterns,app_kw_0369,unchanged,1,1,2012,2012
coping patterns rating scale,coping patterns rating scale,app_kw_0370,unchanged,1,1,2012,2012
coping strategies,coping strategies,app_kw_0371,unchanged,5,5,2019,2024
coping styles,coping styles,app_kw_0372,unchanged,3,3,2005,2024
coping with stress,coping with stress,app_kw_0373,unchanged,2,2,2005,2019
core conflictual relationship theme,core conflictual relationship theme,app_kw_0374,unchanged,1,1,2013,2013
Core Conflictual Relationship Theme Method,core conflictual relationship theme method,app_kw_0375,lowercase,1,1,2010,2010
coronary angioplasty,coronary angioplasty,app_kw_0376,unchanged,2,2,2007,2007
coronary artery disease,coronary artery disease,app_kw_0377,unchanged,2,2,2007,2007
coronary diseases,coronary diseases,app_kw_0378,unchanged,1,1,2021,2021
coronary surgery,coronary surgery,app_kw_0379,unchanged,1,1,2021,2021
coronavirus,coronavirus,app_kw_0380,unchanged,4,4,2021,2024
corpus callosum,corpus callosum,app_kw_0381,unchanged,1,1,2023,2023
corticotropin releasing hormone receptors,corticotropin releasing hormone receptors,app_kw_0382,unchanged,1,1,2009,2009
cortisol,cortisol,app_kw_0383,unchanged,1,1,2015,2015
cortisol awakening response,cortisol awakening response,app_kw_0384,unchanged,1,1,2023,2023
cost effectiveness,cost effectiveness,app_kw_0385,unchanged,1,1,2009,2009
cost-effectiveness analysis,cost-effectiveness analysis,app_kw_0386,unchanged,1,1,2014,2014
Cotard syndrome,cotard syndrome,app_kw_0387,lowercase,1,1,2021,2021
counseling,counseling,app_kw_0388,unchanged,2,2,2015,2020
counter-transference,counter-transference,app_kw_0389,unchanged,2,2,2013,2014
couple therapy,couple therapy,app_kw_0390,unchanged,1,1,2014,2014
couples therapy,couples therapy,app_kw_0391,unchanged,1,1,2011,2011
course,course,app_kw_0392,unchanged,1,1,2007,2007
course of illness,course of illness,app_kw_0393,unchanged,1,1,2009,2009
COVID-19,covid-19,app_kw_0394,lowercase,14,14,2020,2025
Covid-19,covid-19,app_kw_0394,lowercase,1,1,2022,2022
covid-19,covid-19,app_kw_0394,unchanged,1,1,2021,2021
COVID-19 pandemic,covid-19 pandemic,app_kw_0395,lowercase,2,2,2023,2024
CPRS,cprs,app_kw_0396,lowercase,2,2,2012,2018
creative thinking,creative thinking,app_kw_0397,unchanged,1,1,2025,2025
creativity,creativity,app_kw_0398,unchanged,4,4,2008,2025
Creativity and schizophrenia: a literature review of the problem,creativity and schizophrenia: a literature review of the problem,app_kw_0399,lowercase,1,1,2006,2006
Creutzfeldt-Jakob disease,creutzfeldt-jakob disease,app_kw_0400,lowercase,1,1,2016,2016
criminal insanity,criminal insanity,app_kw_0401,unchanged,1,1,2010,2010
Crohn’s Disease,crohn's disease,app_kw_0402,lowercase|typographic_chars,1,1,2023,2023
cross-cultural study,cross-cultural study,app_kw_0403,unchanged,1,1,2008,2008
cross-lagged panel analysis,cross-lagged panel analysis,app_kw_0404,unchanged,1,1,2024,2024
CSO,cso,app_kw_0405,lowercase,1,1,2024,2024
cultural differences,cultural differences,app_kw_0406,unchanged,1,1,2011,2011
cultural social factors,cultural social factors,app_kw_0407,unchanged,1,1,2009,2009
culture,culture,app_kw_0408,unchanged,2,2,2005,2017
curriculum,curriculum,app_kw_0409,unchanged,2,2,2015,2017
Cyberchondria,cyberchondria,app_kw_0410,lowercase,1,1,2022,2022
cyberpsychology,cyberpsychology,app_kw_0411,unchanged,1,1,2019,2019
cyclothymic,cyclothymic,app_kw_0412,unchanged,1,1,2024,2024
CYP2D,cyp2d,app_kw_0413,lowercase,1,1,2005,2005
cytokines,cytokines,app_kw_0414,unchanged,1,1,2024,2024
D2 receptors,d2 receptors,app_kw_0415,lowercase,1,1,2010,2010
dark side of personality,dark side of personality,app_kw_0416,unchanged,1,1,2024,2024
DAT and COMT polymorphism,dat and comt polymorphism,app_kw_0417,lowercase,1,1,2005,2005
Davanloo,davanloo,app_kw_0418,lowercase,2,2,2015,2015
day hospital,day hospital,app_kw_0419,unchanged,1,1,2007,2007
day-care ward,day-care ward,app_kw_0420,unchanged,1,1,2009,2009
death,death,app_kw_0421,unchanged,1,1,2022,2022
death instinct,death instinct,app_kw_0422,unchanged,1,1,2005,2005
decision algorithm,decision algorithm,app_kw_0423,unchanged,1,1,2016,2016
decision-making,decision-making,app_kw_0424,unchanged,1,1,2020,2020
Decision-Making Capacity,decision-making capacity,app_kw_0425,lowercase,1,1,2008,2008
defect,defect,app_kw_0426,unchanged,1,1,2010,2010
defence mechanisms,defence mechanisms,app_kw_0427,unchanged,2,2,2008,2012
defense mechanisms,defense mechanisms,app_kw_0428,unchanged,4,4,2017,2025
defense styles,defense styles,app_kw_0429,unchanged,1,1,2024,2024
deficit,deficit,app_kw_0430,unchanged,2,2,2010,2013
deficit schizophrenia,deficit schizophrenia,app_kw_0431,unchanged,2,2,2024,2025
deinstitutionalization,deinstitutionalization,app_kw_0432,unchanged,1,1,2010,2010
deliberate self-harm,deliberate self-harm,app_kw_0433,unchanged,1,1,2010,2010
delirium,delirium,app_kw_0434,unchanged,1,1,2020,2020
delusion-proneness,delusion-proneness,app_kw_0435,unchanged,1,1,2013,2013
delusions,delusions,app_kw_0436,unchanged,2,2,2014,2015
dementia,dementia,app_kw_0437,unchanged,3,3,2007,2012
dementia of the Alzheimer type,dementia of the alzheimer type,app_kw_0438,lowercase,1,1,2025,2025
demographic factors,demographic factors,app_kw_0439,unchanged,1,1,2017,2017
dependence,dependence,app_kw_0440,unchanged,3,3,2016,2020
deportation,deportation,app_kw_0441,unchanged,2,2,2005,2007
depot formulation,depot formulation,app_kw_0442,unchanged,1,1,2016,2016
Depressed mood,depressed mood,app_kw_0443,lowercase,1,1,2023,2023
Depressin,depressin,app_kw_0444,lowercase,1,1,2018,2018
Depression,depression,app_kw_0445,lowercase,2,2,2021,2022
depression,depression,app_kw_0445,unchanged,59,59,2005,2025
depression as defence mechanism,depression as defence mechanism,app_kw_0446,unchanged,1,1,2022,2022
Depressive disorder,depressive disorder,app_kw_0447,lowercase,1,1,2022,2022
depressive disorder,depressive disorder,app_kw_0447,unchanged,3,3,2009,2025
depressive disorders,depressive disorders,app_kw_0448,unchanged,1,1,2017,2017
depressive symptoms,depressive symptoms,app_kw_0449,unchanged,2,2,2010,2024
depressiveness,depressiveness,app_kw_0450,unchanged,1,1,2009,2009
dermatosis,dermatosis,app_kw_0451,unchanged,1,1,2016,2016
DESNOS,desnos,app_kw_0452,lowercase,1,1,2008,2008
detection,detection,app_kw_0453,unchanged,1,1,2018,2018
determinants of health,determinants of health,app_kw_0454,unchanged,1,1,2020,2020
detoxification,detoxification,app_kw_0455,unchanged,1,1,2016,2016
development,development,app_kw_0456,unchanged,1,1,2017,2017
developmental dyslexia,developmental dyslexia,app_kw_0457,unchanged,1,1,2022,2022
diabetes,diabetes,app_kw_0458,unchanged,1,1,2015,2015
diabetes distress,diabetes distress,app_kw_0459,unchanged,1,1,2019,2019
diabetes mellitus,diabetes mellitus,app_kw_0460,unchanged,1,1,2017,2017
diabetes type 1,diabetes type 1,app_kw_0461,unchanged,1,1,2025,2025
diabulimia,diabulimia,app_kw_0462,unchanged,1,1,2023,2023
diagnosis,diagnosis,app_kw_0463,unchanged,3,3,2005,2023
diagnosis applied in psychotherapy,diagnosis applied in psychotherapy,app_kw_0464,unchanged,1,1,2015,2015
diagnostic approach,diagnostic approach,app_kw_0465,unchanged,1,1,2014,2014
diagnostic procedures,diagnostic procedures,app_kw_0466,unchanged,1,1,2008,2008
diagnostic tips,diagnostic tips,app_kw_0467,unchanged,1,1,2015,2015
dialectical behavior therapyDBT,dialectical behavior therapydbt,app_kw_0468,lowercase,1,1,2024,2024
diet,diet,app_kw_0469,unchanged,1,1,2014,2014
dietary supplements,dietary supplements,app_kw_0470,unchanged,1,1,2025,2025
differential diagnosis,differential diagnosis,app_kw_0471,unchanged,2,2,2016,2018
dignity,dignity,app_kw_0472,unchanged,1,1,2011,2011
Dimensional models,dimensional models,app_kw_0473,lowercase,1,1,2021,2021
disability,disability,app_kw_0474,unchanged,3,3,2006,2023
discriminate analysis,discriminate analysis,app_kw_0475,unchanged,1,1,2013,2013
discussion with anti- and postpsychiatry,discussion with anti-and postpsychiatry,app_kw_0476,hyphen_spacing,1,1,2011,2011
disorder,disorder,app_kw_0477,unchanged,1,1,2021,2021
disordered body image,disordered body image,app_kw_0478,unchanged,1,1,2019,2019
disordered eating,disordered eating,app_kw_0479,unchanged,3,3,2013,2025
Disorders,disorders,app_kw_0480,lowercase,1,1,2019,2019
disorganised attachment,disorganised attachment,app_kw_0481,unchanged,1,1,2005,2005
disruptive behavior disorders in children and adolescents,disruptive behavior disorders in children and adolescents,app_kw_0482,unchanged,1,1,2013,2013
dissociation,dissociation,app_kw_0483,unchanged,1,1,2022,2022
dissociation & trauma,dissociation and trauma,app_kw_0484,ampersand_to_and,1,1,2021,2021
distorted body image,distorted body image,app_kw_0485,unchanged,1,1,2022,2022
doctor - patient relationship,doctor-patient relationship,app_kw_0486,hyphen_spacing,1,1,2022,2022
domestic violence,domestic violence,app_kw_0487,unchanged,1,1,2008,2008
dopamine,dopamine,app_kw_0488,unchanged,2,2,2012,2021
drama,drama,app_kw_0489,unchanged,1,1,2011,2011
dramatology,dramatology,app_kw_0490,unchanged,2,2,2011,2015
drawings,drawings,app_kw_0491,unchanged,1,1,2020,2020
dream emotions,dream emotions,app_kw_0492,unchanged,1,1,2012,2012
dreaming,dreaming,app_kw_0493,unchanged,1,1,2013,2013
drop out,drop out,app_kw_0494,unchanged,1,1,2014,2014
drop-out,drop-out,app_kw_0495,unchanged,1,1,2014,2014
drug,drug,app_kw_0496,unchanged,1,1,2017,2017
drug addiction,drug addiction,app_kw_0497,unchanged,2,2,2009,2017
drug-resistant depression,drug-resistant depression,app_kw_0498,unchanged,1,1,2009,2009
dryness of mouth,dryness of mouth,app_kw_0499,unchanged,1,1,2020,2020
DSM,dsm,app_kw_0500,lowercase,1,1,2014,2014
DSM-5,dsm-5,app_kw_0501,lowercase,1,1,2017,2017
DSM5,dsm5,app_kw_0502,lowercase,1,1,2014,2014
dual diagnosis,dual diagnosis,app_kw_0503,unchanged,3,3,2007,2025
duration of psychotherapy,duration of psychotherapy,app_kw_0504,unchanged,1,1,2008,2008
dynamic psychiatry,dynamic psychiatry,app_kw_0505,unchanged,1,1,2015,2015
dyscalculia,dyscalculia,app_kw_0506,unchanged,1,1,2019,2019
dysfunctional attitude,dysfunctional attitude,app_kw_0507,unchanged,1,1,2012,2012
dysfunctional attitudes,dysfunctional attitudes,app_kw_0508,unchanged,1,1,2023,2023
dysfunctional beliefs,dysfunctional beliefs,app_kw_0509,unchanged,1,1,2018,2018
dysorthography,dysorthography,app_kw_0510,unchanged,1,1,2022,2022
dysphoria,dysphoria,app_kw_0511,unchanged,1,1,2021,2021
e-learning,e-learning,app_kw_0512,unchanged,1,1,2015,2015
early adulthood,early adulthood,app_kw_0513,unchanged,3,3,2017,2020
early childhood trauma,early childhood trauma,app_kw_0514,unchanged,1,1,2005,2005
Early Intervention,early intervention,app_kw_0515,lowercase,1,1,2023,2023
early maladaptive schemas,early maladaptive schemas,app_kw_0516,unchanged,2,2,2013,2024
early retirement,early retirement,app_kw_0517,unchanged,1,1,2019,2019
eartquake victims,eartquake victims,app_kw_0518,unchanged,1,1,2017,2017
East Azerbaijian,east azerbaijian,app_kw_0519,lowercase,1,1,2017,2017
east European psychiatrists,east european psychiatrists,app_kw_0520,lowercase,1,1,2005,2005
EAT-26,eat-26,app_kw_0521,lowercase,1,1,2016,2016
eat-26,eat-26,app_kw_0521,unchanged,1,1,2023,2023
eating,eating,app_kw_0522,unchanged,1,1,2009,2009
eating attitude,eating attitude,app_kw_0523,unchanged,1,1,2012,2012
eating attitudes,eating attitudes,app_kw_0524,unchanged,2,2,2011,2016
eating behaviours,eating behaviours,app_kw_0525,unchanged,1,1,2016,2016
eating disorder symptoms,eating disorder symptoms,app_kw_0526,unchanged,1,1,2010,2010
eating disorders,eating disorders,app_kw_0527,unchanged,8,8,2008,2023
eating disorders awareness,eating disorders awareness,app_kw_0528,unchanged,1,1,2016,2016
eating disorders predictors,eating disorders predictors,app_kw_0529,unchanged,1,1,2016,2016
eating disorders subtypes,eating disorders subtypes,app_kw_0530,unchanged,1,1,2008,2008
eating habits,eating habits,app_kw_0531,unchanged,1,1,2011,2011
eating styles,eating styles,app_kw_0532,unchanged,1,1,2025,2025
eclecticism,eclecticism,app_kw_0533,unchanged,1,1,2006,2006
ecological anxiety,ecological anxiety,app_kw_0534,unchanged,1,1,2022,2022
ecological perception,ecological perception,app_kw_0535,unchanged,1,1,2014,2014
Economic stresses,economic stresses,app_kw_0536,lowercase,1,1,2018,2018
ECT,ect,app_kw_0537,lowercase,1,1,2016,2016
Editorial,editorial,app_kw_0538,lowercase,1,1,2024,2024
editorial,editorial,app_kw_0538,unchanged,26,26,2018,2025
editorial 1,editorial 1,app_kw_0539,unchanged,25,25,2018,2024
editorial 2,editorial 2,app_kw_0540,unchanged,26,26,2018,2025
editorial 3,editorial 3,app_kw_0541,unchanged,5,5,2021,2025
editorial 4,editorial 4,app_kw_0542,unchanged,1,1,2025,2025
Editorial Editorial 1,editorial editorial 1,app_kw_0543,lowercase,1,1,2025,2025
editorial1,editorial1,app_kw_0544,unchanged,1,1,2020,2020
editorial2,editorial2,app_kw_0545,unchanged,2,2,2020,2021
editoril 2,editoril 2,app_kw_0546,unchanged,1,1,2020,2020
editors,editors,app_kw_0547,unchanged,2,2,2016,2017
education,education,app_kw_0548,unchanged,3,3,2017,2023
EEG-biofeedback,eeg-biofeedback,app_kw_0549,lowercase,1,1,2015,2015
Effect of schizophrenia and substance use disorder on depressive symptoms and stressful life events,effect of schizophrenia and substance use disorder on depressive symptoms and stressful life events,app_kw_0550,lowercase,1,1,2006,2006
effective counselor,effective counselor,app_kw_0551,unchanged,1,1,2015,2015
effectiveness,effectiveness,app_kw_0552,unchanged,4,4,2006,2021
effectivness,effectivness,app_kw_0553,unchanged,1,1,2005,2005
efficacy profile,efficacy profile,app_kw_0554,unchanged,1,1,2010,2010
ego,ego,app_kw_0555,unchanged,1,1,2007,2007
egocentric,egocentric,app_kw_0556,unchanged,1,1,2007,2007
egosyntonicity,egosyntonicity,app_kw_0557,unchanged,2,2,2009,2010
Egypt,egypt,app_kw_0558,lowercase,1,1,2021,2021
Elderly,elderly,app_kw_0559,lowercase,2,2,2017,2020
electroconvulsive therapy,electroconvulsive therapy,app_kw_0560,unchanged,3,3,2016,2025
electrodermal activity,electrodermal activity,app_kw_0561,unchanged,1,1,2024,2024
electronic communication,electronic communication,app_kw_0562,unchanged,1,1,2008,2008
emergencies,emergencies,app_kw_0563,unchanged,1,1,2019,2019
Emergency Medicine residents,emergency medicine residents,app_kw_0564,lowercase,1,1,2018,2018
emotion focused training for emotion of self-compassion and self-protection,emotion focused training for emotion of self-compassion and self-protection,app_kw_0565,unchanged,1,1,2022,2022
emotion recognition,emotion recognition,app_kw_0566,unchanged,3,3,2017,2023
emotion regulation,emotion regulation,app_kw_0567,unchanged,3,3,2017,2022
emotion-focused coping,emotion-focused coping,app_kw_0568,unchanged,1,1,2011,2011
emotional abuse,emotional abuse,app_kw_0569,unchanged,1,1,2018,2018
emotional development,emotional development,app_kw_0570,unchanged,1,1,2010,2010
emotional disorders,emotional disorders,app_kw_0571,unchanged,1,1,2020,2020
Emotional Disposition,emotional disposition,app_kw_0572,lowercase,1,1,2021,2021
emotional eating,emotional eating,app_kw_0573,unchanged,1,1,2017,2017
emotional injury OCD,emotional injury ocd,app_kw_0574,lowercase,1,1,2025,2025
emotional instability,emotional instability,app_kw_0575,unchanged,2,2,2018,2025
emotional intelligence,emotional intelligence,app_kw_0576,unchanged,4,4,2018,2024
emotional labour,emotional labour,app_kw_0577,unchanged,1,1,2020,2020
emotional processes,emotional processes,app_kw_0578,unchanged,1,1,2017,2017
emotional reaction,emotional reaction,app_kw_0579,unchanged,1,1,2005,2005
emotional regulation,emotional regulation,app_kw_0580,unchanged,1,1,2025,2025
emotional state,emotional state,app_kw_0581,unchanged,1,1,2021,2021
emotional symptoms,emotional symptoms,app_kw_0582,unchanged,1,1,2008,2008
emotions,emotions,app_kw_0583,unchanged,2,2,2015,2019
empathy,empathy,app_kw_0584,unchanged,6,6,2013,2025
Empathy_,empathy_,app_kw_0585,lowercase,1,1,2019,2019
EMS,ems,app_kw_0586,lowercase,1,1,2024,2024
endurance training,endurance training,app_kw_0587,unchanged,1,1,2019,2019
engagement,engagement,app_kw_0588,unchanged,1,1,2020,2020
environmental stressors,environmental stressors,app_kw_0589,unchanged,1,1,2019,2019
epidemic,epidemic,app_kw_0590,unchanged,2,2,2022,2022
epidemiological studies,epidemiological studies,app_kw_0591,unchanged,2,2,2010,2013
epidemiological study,epidemiological study,app_kw_0592,unchanged,3,3,2009,2013
epidemiology,epidemiology,app_kw_0593,unchanged,1,1,2017,2017
epidemiology of mental disorders in adolescence,epidemiology of mental disorders in adolescence,app_kw_0594,unchanged,3,3,2007,2010
Epilepsy,epilepsy,app_kw_0595,lowercase,1,1,2019,2019
epilepsy,epilepsy,app_kw_0595,unchanged,1,1,2022,2022
EPQ-R,epq-r,app_kw_0596,lowercase,1,1,2019,2019
Ericksonian parallel process,ericksonian parallel process,app_kw_0597,lowercase,1,1,2025,2025
Ericksonian supervision,ericksonian supervision,app_kw_0598,lowercase,1,1,2025,2025
ethical aspects,ethical aspects,app_kw_0599,unchanged,1,1,2012,2012
ethical dilemmas,ethical dilemmas,app_kw_0600,unchanged,1,1,2008,2008
Ethical Issues,ethical issues,app_kw_0601,lowercase,1,1,2008,2008
ethics,ethics,app_kw_0602,unchanged,1,1,2022,2022
etiology and symptomatology of paternal postnatal depression,etiology and symptomatology of paternal postnatal depression,app_kw_0603,unchanged,1,1,2014,2014
evaluation of psychotherapy treatment,evaluation of psychotherapy treatment,app_kw_0604,unchanged,1,1,2022,2022
evidence,evidence,app_kw_0605,unchanged,1,1,2019,2019
evolution,evolution,app_kw_0606,unchanged,1,1,2019,2019
exam stress,exam stress,app_kw_0607,unchanged,1,1,2005,2005
executive function,executive function,app_kw_0608,unchanged,1,1,2012,2012
executive functions,executive functions,app_kw_0609,unchanged,3,3,2009,2022
exhaustion,exhaustion,app_kw_0610,unchanged,1,1,2025,2025
existential cognitive-behavioral therapy,existential cognitive-behavioral therapy,app_kw_0611,unchanged,1,1,2015,2015
experience,experience,app_kw_0612,unchanged,1,1,2022,2022
experience of trauma,experience of trauma,app_kw_0613,unchanged,1,1,2005,2005
experience of values,experience of values,app_kw_0614,unchanged,1,1,2005,2005
Experiencing Scale,experiencing scale,app_kw_0615,lowercase,1,1,2008,2008
experimental stress,experimental stress,app_kw_0616,unchanged,1,1,2015,2015
exploratory factor analysis,exploratory factor analysis,app_kw_0617,unchanged,1,1,2022,2022
exploratory study,exploratory study,app_kw_0618,unchanged,1,1,2017,2017
exposure therapy,exposure therapy,app_kw_0619,unchanged,1,1,2019,2019
externalizing behaviors,externalizing behaviors,app_kw_0620,unchanged,1,1,2021,2021
extreme sports,extreme sports,app_kw_0621,unchanged,1,1,2024,2024
Eye Movement Desensitization and Reprocessing,eye movement desensitization and reprocessing,app_kw_0622,lowercase,1,1,2015,2015
face-to-face therapy,face-to-face therapy,app_kw_0623,unchanged,1,1,2024,2024
Facial emotion,facial emotion,app_kw_0624,lowercase,1,1,2023,2023
facial emotion,facial emotion,app_kw_0624,unchanged,1,1,2024,2024
facial expression,facial expression,app_kw_0625,unchanged,3,3,2022,2024
factor analyses,factor analyses,app_kw_0626,unchanged,1,1,2011,2011
Factor Analysis,factor analysis,app_kw_0627,lowercase,1,1,2023,2023
factors of compliance with the treatment regimen,factors of compliance with the treatment regimen,app_kw_0628,unchanged,1,1,2025,2025
faecal impaction,faecal impaction,app_kw_0629,unchanged,1,1,2023,2023
faecaloma,faecaloma,app_kw_0630,unchanged,1,1,2023,2023
Fahr's syndrome,fahr's syndrome,app_kw_0631,lowercase,1,1,2025,2025
failure,failure,app_kw_0632,unchanged,1,1,2018,2018
family,family,app_kw_0633,unchanged,4,4,2019,2024
family caregivers,family caregivers,app_kw_0634,unchanged,1,1,2020,2020
family constellations,family constellations,app_kw_0635,unchanged,1,1,2011,2011
family consultation,family consultation,app_kw_0636,unchanged,1,1,2005,2005
Family Genogram Interview,family genogram interview,app_kw_0637,lowercase,1,1,2017,2017
family history,family history,app_kw_0638,unchanged,1,1,2023,2023
Family practice,family practice,app_kw_0639,lowercase,1,1,2018,2018
family system,family system,app_kw_0640,unchanged,1,1,2010,2010
family system characteristics,family system characteristics,app_kw_0641,unchanged,1,1,2020,2020
family therapy,family therapy,app_kw_0642,unchanged,5,5,2005,2015
fanaticism,fanaticism,app_kw_0643,unchanged,1,1,2012,2012
fear,fear,app_kw_0644,unchanged,2,2,2021,2022
feeding and eating disorders,feeding and eating disorders,app_kw_0645,unchanged,1,1,2021,2021
females without mental disturbances,females without mental disturbances,app_kw_0646,unchanged,1,1,2011,2011
Fetal Alcohol Syndrome,fetal alcohol syndrome,app_kw_0647,lowercase,1,1,2021,2021
FG,fg,app_kw_0648,lowercase,1,1,2017,2017
fibromyalgia syndrome,fibromyalgia syndrome,app_kw_0649,unchanged,2,2,2022,2023
fidelity,fidelity,app_kw_0650,unchanged,1,1,2014,2014
Figure Rating Scale,figure rating scale,app_kw_0651,lowercase,1,1,2011,2011
firefighters,firefighters,app_kw_0652,unchanged,1,1,2016,2016
First Episode Schizophrenia,first episode schizophrenia,app_kw_0653,lowercase,1,1,2023,2023
first person account,first person account,app_kw_0654,unchanged,1,1,2021,2021
first psychosis,first psychosis,app_kw_0655,unchanged,1,1,2024,2024
first-degree relatives,first-degree relatives,app_kw_0656,unchanged,2,2,2006,2006
first-episode,first-episode,app_kw_0657,unchanged,2,2,2005,2007
first-episode psychosis,first-episode psychosis,app_kw_0658,unchanged,1,1,2023,2023
first-episode schizophrenia,first-episode schizophrenia,app_kw_0659,unchanged,1,1,2012,2012
First-Person Account,first-person account,app_kw_0660,lowercase,1,1,2014,2014
fitness,fitness,app_kw_0661,unchanged,1,1,2017,2017
five-factor model of personality,five-factor model of personality,app_kw_0662,unchanged,1,1,2024,2024
FKBP5,fkbp5,app_kw_0663,lowercase,1,1,2020,2020
flexibility,flexibility,app_kw_0664,unchanged,3,3,2012,2022
flood,flood,app_kw_0665,unchanged,2,2,2005,2007
fMRI,fmri,app_kw_0666,lowercase,1,1,2007,2007
Follow-up,follow-up,app_kw_0667,lowercase,1,1,2023,2023
follow-up study,follow-up study,app_kw_0668,unchanged,5,5,2007,2017
food restriction,food restriction,app_kw_0669,unchanged,1,1,2012,2012
For Authors,for authors,app_kw_0670,lowercase,1,1,2006,2006
forced treatment,forced treatment,app_kw_0671,unchanged,1,1,2011,2011
forcible feeding,forcible feeding,app_kw_0672,unchanged,1,1,2006,2006
forensic psychiatry,forensic psychiatry,app_kw_0673,unchanged,1,1,2016,2016
formulation,formulation,app_kw_0674,unchanged,2,2,2017,2017
foster care,foster care,app_kw_0675,unchanged,1,1,2025,2025
free association,free association,app_kw_0676,unchanged,1,1,2011,2011
frequency of comsumption of products,frequency of comsumption of products,app_kw_0677,unchanged,1,1,2014,2014
Freud,freud,app_kw_0678,lowercase,1,1,2015,2015
from,from,app_kw_0679,unchanged,2,2,2016,2017
frontal lobe syndrome,frontal lobe syndrome,app_kw_0680,unchanged,1,1,2020,2020
functional disorders,functional disorders,app_kw_0681,unchanged,2,2,2011,2015
fuzzy PROMETHEE,fuzzy promethee,app_kw_0682,lowercase,1,1,2020,2020
galvanic skin response,galvanic skin response,app_kw_0683,unchanged,1,1,2024,2024
gay,gay,app_kw_0684,unchanged,1,1,2023,2023
gender,gender,app_kw_0685,unchanged,10,10,2011,2023
gender difference,gender difference,app_kw_0686,unchanged,1,1,2013,2013
gender dysphoria in children,gender dysphoria in children,app_kw_0687,unchanged,1,1,2017,2017
gender identity,gender identity,app_kw_0688,unchanged,1,1,2015,2015
gender identity in childhood,gender identity in childhood,app_kw_0689,unchanged,1,1,2017,2017
gender role conflict,gender role conflict,app_kw_0690,unchanged,1,1,2008,2008
gender variance,gender variance,app_kw_0691,unchanged,1,1,2017,2017
gene,gene,app_kw_0692,unchanged,1,1,2012,2012
Gene mutation,gene mutation,app_kw_0693,lowercase,1,1,2019,2019
gene polymorphism,gene polymorphism,app_kw_0694,unchanged,1,1,2007,2007
gene-environment interaction,gene-environment interaction,app_kw_0695,unchanged,1,1,2020,2020
General Factor Specification,general factor specification,app_kw_0696,lowercase,1,1,2021,2021
general self-efficacy,general self-efficacy,app_kw_0697,unchanged,1,1,2021,2021
generalized anxiety,generalized anxiety,app_kw_0698,unchanged,1,1,2008,2008
generalized anxiety disorder,generalized anxiety disorder,app_kw_0699,unchanged,1,1,2015,2015
genes,genes,app_kw_0700,unchanged,1,1,2012,2012
genetics,genetics,app_kw_0701,unchanged,3,3,2005,2021
gestational diabetes,gestational diabetes,app_kw_0702,unchanged,1,1,2017,2017
gg,gg,app_kw_0703,unchanged,1,1,2016,2016
GH,gh,app_kw_0704,lowercase,1,1,2017,2017
giftedness,giftedness,app_kw_0705,unchanged,1,1,2019,2019
gingivitis,gingivitis,app_kw_0706,unchanged,1,1,2020,2020
glutamic acid,glutamic acid,app_kw_0707,unchanged,1,1,2011,2011
glycine,glycine,app_kw_0708,unchanged,1,1,2011,2011
grandparents,grandparents,app_kw_0709,unchanged,1,1,2019,2019
grounded theory methodology,grounded theory methodology,app_kw_0710,unchanged,1,1,2014,2014
group process,group process,app_kw_0711,unchanged,1,1,2013,2013
group psychotherapy,group psychotherapy,app_kw_0712,unchanged,3,3,2006,2011
group therapy,group therapy,app_kw_0713,unchanged,3,3,2016,2024
Growth Resources Model,growth resources model,app_kw_0714,lowercase,1,1,2021,2021
GSDSII,gsdsii,app_kw_0715,lowercase,1,1,2006,2006
guided discovery,guided discovery,app_kw_0716,unchanged,1,1,2022,2022
guided mastery,guided mastery,app_kw_0717,unchanged,1,1,2005,2005
guided self-management program for patients,guided self-management program for patients,app_kw_0718,unchanged,1,1,2012,2012
guilt,guilt,app_kw_0719,unchanged,3,3,2009,2018
gut microbiota,gut microbiota,app_kw_0720,unchanged,2,2,2020,2023
