rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base,semantic_review_status,candidate_reason,suggested_family,term_norm_for_audit,audit_category,audit_reason,include_in_semantic_review,audit_scope,audit_stage,manual_override,manual_override_note
76,subject,1,1015,726,13.387,5423,pending,ijpa_high_frequency_recon,,subject,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
77,psycho-analytic,1,1007,486,8.962,5423,pending,ijpa_high_frequency_recon,technique_process,psycho-analytic,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
78,form,1,1007,753,13.885,5423,pending,ijpa_high_frequency_recon,,form,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
79,dreams,1,1004,337,6.214,5423,pending,ijpa_high_frequency_recon,,dreams,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
80,particular,1,1003,838,15.453,5423,pending,ijpa_high_frequency_recon,,particular,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
81,sense,1,986,697,12.853,5423,pending,ijpa_high_frequency_recon,,sense,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
82,therapeutic,1,985,555,10.234,5423,pending,ijpa_high_frequency_recon,technique_process,therapeutic,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
83,technique,1,973,468,8.63,5423,pending,ijpa_high_frequency_recon,technique_process,technique,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
84,thought,1,972,679,12.521,5423,pending,ijpa_high_frequency_recon,,thought,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
85,identification,1,971,455,8.39,5423,pending,ijpa_high_frequency_recon,object_relations,identification,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
86,function,1,960,589,10.861,5423,pending,ijpa_high_frequency_recon,,function,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
87,complex,1,960,580,10.695,5423,pending,ijpa_high_frequency_recon,,complex,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
88,training,1,949,335,6.177,5423,pending,ijpa_high_frequency_recon,,training,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
89,thinking,1,943,569,10.492,5423,pending,ijpa_high_frequency_recon,,thinking,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
90,self,1,939,471,8.685,5423,pending,ijpa_high_frequency_recon,self_narcissism,self,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
91,fact,1,934,750,13.83,5423,pending,ijpa_high_frequency_recon,,fact,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
92,like,1,930,702,12.945,5423,pending,ijpa_high_frequency_recon,,like,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
93,man,1,919,549,10.124,5423,pending,ijpa_high_frequency_recon,,man,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
94,body,1,918,439,8.095,5423,pending,ijpa_high_frequency_recon,body_sexuality,body,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
95,often,1,905,726,13.387,5423,pending,ijpa_high_frequency_recon,,often,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
97,york,1,900,720,13.277,5423,pending,ijpa_high_frequency_recon,,york,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
98,death,1,894,428,7.892,5423,pending,ijpa_high_frequency_recon,,death,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
99,problem,1,892,563,10.382,5423,pending,ijpa_high_frequency_recon,,problem,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
100,himself,1,889,642,11.838,5423,pending,ijpa_high_frequency_recon,,himself,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
101,relation,1,889,617,11.377,5423,pending,ijpa_high_frequency_recon,,relation,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
102,change,1,889,475,8.759,5423,pending,ijpa_high_frequency_recon,,change,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
104,state,1,877,617,11.377,5423,pending,ijpa_high_frequency_recon,,state,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
105,analyst's,1,877,493,9.091,5423,pending,ijpa_high_frequency_recon,,analyst's,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
106,possible,1,868,719,13.258,5423,pending,ijpa_high_frequency_recon,,possible,candidate_concept,kept_for_semantic_review,True,ijpa_candidate_queue,2b_recon_audit_terms,,
