rank_within_group,journal_key,period,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score
96,ijpa,1920-1945,drew attention,terms_bigram,686,11478,9,12,1.312,0.1045,1.2074,12.6987,2.780154
97,ijpa,1920-1945,instinctual impulses,terms_bigram,686,11478,9,12,1.312,0.1045,1.2074,12.6987,2.780154
98,ijpa,1920-1945,draw attention,terms_bigram,686,11478,10,35,1.4577,0.3049,1.1528,4.9421,2.764281
99,ijpa,1920-1945,infantile sexuality,terms_bigram,686,11478,11,57,1.6035,0.4966,1.1069,3.3418,2.750534
100,ijpa,1920-1945,very often,terms_bigram,686,11478,9,15,1.312,0.1307,1.1813,10.2409,2.719971
1,ijpa,1946-1969,international psycho-analytical,terms_bigram,1205,10959,56,82,4.6473,0.7482,3.8991,6.2238,15.764097
2,ijpa,1946-1969,point view,terms_bigram,1205,10959,76,317,6.3071,2.8926,3.4145,2.1897,14.831725
3,ijpa,1946-1969,anna freud,terms_bigram,1205,10959,58,135,4.8133,1.2319,3.5814,3.9236,14.603349
4,ijpa,1946-1969,pointed out,terms_bigram,1205,10959,58,139,4.8133,1.2684,3.5449,3.8111,14.45452
5,ijpa,1946-1969,psycho-analytical association,terms_bigram,1205,10959,45,22,3.7344,0.2007,3.5337,18.3777,13.529238
6,ijpa,1946-1969,melanie klein,terms_bigram,1205,10959,52,131,4.3154,1.1954,3.12,3.6282,12.387264
7,ijpa,1946-1969,defence mechanisms,terms_bigram,1205,10959,40,45,3.3195,0.4106,2.9089,8.0892,10.802338
8,ijpa,1946-1969,object relationships,terms_bigram,1205,10959,41,86,3.4025,0.7847,2.6177,4.3601,9.784272
9,ijpa,1946-1969,acting out,terms_bigram,1205,10959,43,121,3.5685,1.1041,2.4643,3.2537,9.325565
10,ijpa,1946-1969,external world,terms_bigram,1205,10959,39,80,3.2365,0.73,2.5065,4.4593,9.246253
11,ijpa,1946-1969,ernest jones,terms_bigram,1205,10959,39,102,3.2365,0.9307,2.3058,3.5022,8.505717
12,ijpa,1946-1969,defence against,terms_bigram,1205,10959,34,61,2.8216,0.5566,2.265,5.0981,8.052709
13,ijpa,1946-1969,transference neurosis,terms_bigram,1205,10959,36,94,2.9876,0.8577,2.1298,3.5101,7.690567
14,ijpa,1946-1969,heinz hartmann,terms_bigram,1205,10959,28,16,2.3237,0.146,2.1777,15.6973,7.332801
15,ijpa,1946-1969,buenos aires,terms_bigram,1205,10959,41,163,3.4025,1.4874,1.9151,2.3067,7.158114
16,ijpa,1946-1969,beverly hills,terms_bigram,1205,10959,30,47,2.4896,0.4289,2.0608,5.8354,7.076607
17,ijpa,1946-1969,oedipus complex,terms_bigram,1205,10959,43,198,3.5685,1.8067,1.7617,1.9916,6.666722
18,ijpa,1946-1969,ego functions,terms_bigram,1205,10959,30,74,2.4896,0.6752,1.8144,3.7205,6.230566
19,ijpa,1946-1969,lampl-de groot,terms_bigram,1205,10959,24,8,1.9917,0.073,1.9187,26.1945,6.176063
20,ijpa,1946-1969,psycho-analytic technique,terms_bigram,1205,10959,24,8,1.9917,0.073,1.9187,26.1945,6.176063
