term,source_table,term_col,journal_key,period,count,doc_count,doc_pct,keyness_score,pct_point_lift,candidate_review_status,suggested_semantic_family,manual_note,term_norm
fact,global_core_terms_after_audit,,,,1328,1093,8.9855,,,pending,,,fact
john,global_core_terms_after_audit,,,,1327,429,3.5268,,,pending,,,john
man,global_core_terms_after_audit,,,,1319,807,6.6343,,,pending,,,man
before,global_core_terms_after_audit,,,,1318,1105,9.0842,,,pending,,,before
structure,global_core_terms_after_audit,,,,1311,896,7.366,,,pending,,,structure
discussed,global_core_terms_after_audit,,,,1309,1175,9.6597,,,pending,,,discussed
make,global_core_terms_after_audit,,,,1306,1153,9.4788,,,pending,,,make
field,global_core_terms_after_audit,,,,1304,888,7.3002,,,pending,,,field
identity,global_core_terms_after_audit,,,,1297,616,5.0641,,,pending,,,identity
ways,global_core_terms_after_audit,,,,1272,1087,8.9362,,,pending,,,ways
objects,global_core_terms_after_audit,,,,1268,730,6.0013,,,pending,,,objects
center,global_core_terms_after_audit,,,,1266,1001,8.2292,,,pending,,,center
sexuality,global_core_terms_after_audit,,,,1261,580,4.7682,,,pending,,,sexuality
issues,global_core_terms_after_audit,,,,1257,967,7.9497,,,pending,,,issues
faculty,global_core_terms_after_audit,,,,1250,929,7.6373,,,pending,,,faculty
since,global_core_terms_after_audit,,,,1247,1054,8.6649,,,pending,,,since
knowledge,global_core_terms_after_audit,,,,1243,880,7.2345,,,pending,,,knowledge
gmail,global_core_terms_after_audit,,,,1242,1195,9.8241,,,pending,,,gmail
attention,global_core_terms_after_audit,,,,1238,1083,8.9033,,,pending,,,attention
capacity,global_core_terms_after_audit,,,,1237,898,7.3824,,,pending,,,capacity
course,global_core_terms_after_audit,,,,1234,1055,8.6731,,,pending,,,course
character,global_core_terms_after_audit,,,,1231,696,5.7218,,,pending,,,character
people,global_core_terms_after_audit,,,,1229,864,7.1029,,,pending,,,people
international,global_core_terms_after_audit,,,,1220,760,6.2479,,,pending,,,international
functioning,global_core_terms_after_audit,,,,1216,781,6.4206,,,pending,,,functioning
primary,global_core_terms_after_audit,,,,1200,750,6.1657,,,pending,,,primary
relationships,global_core_terms_after_audit,,,,1200,806,6.6261,,,pending,,,relationships
order,global_core_terms_after_audit,,,,1199,1043,8.5745,,,pending,,,order
childhood,global_core_terms_after_audit,,,,1195,763,6.2726,,,pending,,,childhood
adult,global_core_terms_after_audit,,,,1188,739,6.0753,,,pending,,,adult
context,global_core_terms_after_audit,,,,1181,945,7.7688,,,pending,,,context
introduction,global_core_terms_after_audit,,,,1177,662,5.4423,,,pending,,,introduction
