rank_within_group,journal_key,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score
17,japa,ann arbor,terms_bigram,2924,9240,56,50,1.9152,0.5411,1.3741,3.5347,5.555392
18,japa,panel held,terms_bigram,2924,9240,41,6,1.4022,0.0649,1.3373,20.171,4.998213
19,japa,plenary address,terms_bigram,2924,9240,39,2,1.3338,0.0216,1.3121,49.9172,4.840342
20,japa,defense against,terms_bigram,2924,9240,44,23,1.5048,0.2489,1.2559,5.9825,4.780674
21,japa,san francisco,terms_bigram,2924,9240,131,325,4.4802,3.5173,0.9628,1.2763,4.701397
22,japa,park west,terms_bigram,2924,9240,69,116,2.3598,1.2554,1.1044,1.8847,4.69191
23,japa,harold blum,terms_bigram,2924,9240,44,27,1.5048,0.2922,1.2126,5.1123,4.615883
24,japa,michigan chicago,terms_bigram,2924,9240,42,24,1.4364,0.2597,1.1766,5.4804,4.42561
25,japa,physicians surgeons,terms_bigram,2924,9240,38,14,1.2996,0.1515,1.1481,8.3885,4.206042
26,japa,cornell medical,terms_bigram,2924,9240,37,18,1.2654,0.1948,1.0706,6.404,3.894344
27,japa,psychiatry columbia,terms_bigram,2924,9240,35,11,1.197,0.119,1.0779,9.7527,3.862828
28,japa,submitted march,terms_bigram,2924,9240,32,0,1.0944,0.0,1.0944,205.3556,3.826547
29,japa,association january,terms_bigram,2924,9240,32,0,1.0944,0.0,1.0944,205.3556,3.826547
30,japa,supervising columbia,terms_bigram,2924,9240,34,8,1.1628,0.0866,1.0762,12.8231,3.826303
31,japa,boston society,terms_bigram,2924,9240,44,50,1.5048,0.5411,0.9637,2.784,3.668338
32,japa,steven roose,terms_bigram,2924,9240,32,5,1.0944,0.0541,1.0403,18.6687,3.637342
33,japa,blum harold,terms_bigram,2924,9240,36,21,1.2312,0.2273,1.0039,5.3635,3.625063
34,japa,supervising boston,terms_bigram,2924,9240,37,25,1.2654,0.2706,0.9948,4.6461,3.618769
35,japa,address american,terms_bigram,2924,9240,31,3,1.0602,0.0325,1.0277,28.4338,3.56182
36,japa,midwinter meeting,terms_bigram,2924,9240,30,0,1.026,0.0,1.026,192.7183,3.523243
37,japa,mitchell wilson,terms_bigram,2924,9240,30,2,1.026,0.0216,1.0043,38.5437,3.448914
38,japa,otto kernberg,terms_bigram,2924,9240,39,38,1.3338,0.4113,0.9225,3.2414,3.403116
39,japa,hms harvard,terms_bigram,2924,9240,33,16,1.1286,0.1732,0.9554,6.4144,3.369193
40,japa,chicago illinois,terms_bigram,2924,9240,40,47,1.368,0.5087,0.8593,2.6937,3.191188
