rank,term,count,doc_count,doc_pct,n_docs_base
250,shall,870,560,4.6037,12164
251,organization,870,507,4.168,12164
252,focus,866,768,6.3137,12164
253,infantile,865,521,4.2831,12164
254,able,865,759,6.2397,12164
255,die,865,201,1.6524,12164
256,writing,864,507,4.168,12164
257,something,863,645,5.3025,12164
258,oedipus,862,355,2.9184,12164
259,suite,855,832,6.8399,12164
260,west,855,801,6.585,12164
261,future,854,586,4.8175,12164
262,term,853,605,4.9737,12164
263,result,852,743,6.1082,12164
264,interpersonal,851,491,4.0365,12164
265,member,850,648,5.3272,12164
266,inner,847,583,4.7928,12164
267,common,847,654,5.3765,12164
268,seems,845,734,6.0342,12164
269,phase,842,482,3.9625,12164
270,account,839,734,6.0342,12164
271,differences,834,611,5.023,12164
272,normal,834,562,4.6202,12164
273,paul,834,256,2.1046,12164
274,too,833,678,5.5738,12164
275,wish,832,589,4.8422,12164
276,level,832,628,5.1628,12164
277,del,826,152,1.2496,12164
278,stephen,823,319,2.6225,12164
279,resistance,821,478,3.9296,12164
280,joseph,820,255,2.0963,12164
281,aggression,819,367,3.0171,12164
282,contact,814,660,5.4258,12164
283,beyond,814,610,5.0148,12164
284,cultural,812,511,4.2009,12164
285,setting,812,519,4.2667,12164
286,san,812,529,4.3489,12164
287,developed,810,747,6.1411,12164
288,real,809,599,4.9244,12164
289,just,808,685,5.6314,12164
290,results,806,645,5.3025,12164
291,defence,804,427,3.5104,12164
292,private,801,711,5.8451,12164
293,des,800,195,1.6031,12164
294,psychoanalyst,799,588,4.8339,12164
295,essay,798,440,3.6172,12164
296,primitive,798,521,4.2831,12164
297,defensive,796,525,4.316,12164
298,period,795,626,5.1463,12164
299,thoughts,794,513,4.2174,12164
300,kind,794,677,5.5656,12164
