rank,term,count,doc_count,doc_pct,n_docs_base
261,primary secondary,86,64,0.5261,12164
262,wallerstein robert,86,49,0.4028,12164
263,theodore jacobs,86,23,0.1891,12164
264,training program,86,78,0.6412,12164
265,jody davies,86,26,0.2137,12164
266,transitional object,85,43,0.3535,12164
267,arnold modell,85,18,0.148,12164
268,presented illustrate,85,85,0.6988,12164
269,relational perspective,85,55,0.4522,12164
270,issue dialogues,85,30,0.2466,12164
271,helene deutsch,84,31,0.2549,12164
272,over past,84,82,0.6741,12164
273,wolf man,84,35,0.2877,12164
274,affect regulation,84,58,0.4768,12164
275,author explores,84,79,0.6495,12164
276,association relational,84,81,0.6659,12164
277,ken corbett,84,25,0.2055,12164
278,children adolescents,83,58,0.4768,12164
279,object choice,83,41,0.3371,12164
280,health services,83,41,0.3371,12164
281,psychoanalytically informed,83,59,0.485,12164
282,throughout life,82,76,0.6248,12164
283,love object,82,62,0.5097,12164
284,function ego,82,39,0.3206,12164
285,present study,82,77,0.633,12164
286,separation anxiety,82,49,0.4028,12164
287,infant observation,82,37,0.3042,12164
288,psychic functioning,82,67,0.5508,12164
289,frank lachmann,82,29,0.2384,12164
290,phyllis tyson,82,21,0.1726,12164
291,sue grand,82,26,0.2137,12164
292,intrapsychic conflict,81,56,0.4604,12164
293,dana birksted-breen,81,27,0.222,12164
294,alliant international,81,8,0.0658,12164
295,young children,80,60,0.4933,12164
296,lampl-de groot,80,32,0.2631,12164
297,freud's concept,80,59,0.485,12164
298,betty joseph,80,26,0.2137,12164
299,beverly hills,80,77,0.633,12164
300,christopher bonovitz,80,18,0.148,12164
