rank_within_group,period,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score
89,1920-1945,society june,terms_bigram,686,11478,9,5,1.312,0.0436,1.2684,28.8608,2.92058
90,1920-1945,outside world,terms_bigram,686,11478,11,50,1.6035,0.4356,1.1679,3.805,2.902079
91,1920-1945,karen horney,terms_bigram,686,11478,9,7,1.312,0.061,1.251,21.1646,2.880458
92,1920-1945,great importance,terms_bigram,686,11478,10,31,1.4577,0.2701,1.1876,5.5696,2.847846
93,1920-1945,mental mechanisms,terms_bigram,686,11478,9,9,1.312,0.0784,1.2335,16.7089,2.840337
94,1920-1945,neurotic symptoms,terms_bigram,686,11478,10,32,1.4577,0.2788,1.1789,5.3983,2.826955
95,1920-1945,oedipus situation,terms_bigram,686,11478,9,10,1.312,0.0871,1.2248,15.1176,2.820276
96,1920-1945,drew attention,terms_bigram,686,11478,9,12,1.312,0.1045,1.2074,12.6987,2.780154
97,1920-1945,instinctual impulses,terms_bigram,686,11478,9,12,1.312,0.1045,1.2074,12.6987,2.780154
98,1920-1945,draw attention,terms_bigram,686,11478,10,35,1.4577,0.3049,1.1528,4.9421,2.764281
99,1920-1945,infantile sexuality,terms_bigram,686,11478,11,57,1.6035,0.4966,1.1069,3.3418,2.750534
100,1920-1945,very often,terms_bigram,686,11478,9,15,1.312,0.1307,1.1813,10.2409,2.719971
1,1946-1969,american association,terms_bigram,1743,10421,146,344,8.3764,3.301,5.0753,2.5413,25.328121
2,1946-1969,meeting american,terms_bigram,1743,10421,91,106,5.2209,1.0172,4.2037,5.1342,19.008273
3,1946-1969,anna freud,terms_bigram,1743,10421,74,119,4.2456,1.1419,3.1036,3.7256,13.39988
4,1946-1969,point view,terms_bigram,1743,10421,96,297,5.5077,2.85,2.6577,1.9384,12.158351
5,1946-1969,pointed out,terms_bigram,1743,10421,69,128,3.9587,1.2283,2.7304,3.2321,11.600104
6,1946-1969,acting out,terms_bigram,1743,10421,62,102,3.5571,0.9788,2.5783,3.6439,10.682214
7,1946-1969,association december,terms_bigram,1743,10421,55,55,3.1555,0.5278,2.6277,5.9759,10.577411
8,1946-1969,international psycho-analytical,terms_bigram,1743,10421,58,80,3.3276,0.7677,2.5599,4.3427,10.438151
9,1946-1969,annual meeting,terms_bigram,1743,10421,49,37,2.8112,0.3551,2.4562,7.8882,9.608682
10,1946-1969,psycho-analytical association,terms_bigram,1743,10421,46,21,2.6391,0.2015,2.4376,12.9247,9.385165
11,1946-1969,ego functions,terms_bigram,1743,10421,50,54,2.8686,0.5182,2.3504,5.5373,9.241492
12,1946-1969,object relationships,terms_bigram,1743,10421,52,75,2.9834,0.7197,2.2637,4.1554,8.987397
13,1946-1969,ego psychology,terms_bigram,1743,10421,50,81,2.8686,0.7773,2.0913,3.7029,8.222787
14,1946-1969,melanie klein,terms_bigram,1743,10421,54,129,3.0981,1.2379,1.8602,2.515,7.454528
15,1946-1969,ernest jones,terms_bigram,1743,10421,47,94,2.6965,0.902,1.7945,3.0038,6.946775
16,1946-1969,defence mechanisms,terms_bigram,1743,10421,40,45,2.2949,0.4318,1.8631,5.3192,6.918658
17,1946-1969,ego superego,terms_bigram,1743,10421,43,69,2.467,0.6621,1.8049,3.7403,6.830032
18,1946-1969,external world,terms_bigram,1743,10421,43,76,2.467,0.7293,1.7377,3.3981,6.57584
19,1946-1969,transference neurosis,terms_bigram,1743,10421,44,86,2.5244,0.8253,1.6991,3.0743,6.468001
20,1946-1969,attempt made,terms_bigram,1743,10421,42,72,2.4096,0.6909,1.7187,3.5031,6.464472
21,1946-1969,object relationship,terms_bigram,1743,10421,38,52,2.1801,0.499,1.6812,4.3823,6.159021
22,1946-1969,great deal,terms_bigram,1743,10421,39,70,2.2375,0.6717,1.5658,3.3482,5.776051
23,1946-1969,heinz hartmann,terms_bigram,1743,10421,31,13,1.7785,0.1247,1.6538,13.9438,5.731615
24,1946-1969,instinctual drives,terms_bigram,1743,10421,33,29,1.8933,0.2783,1.615,6.7862,5.695084
25,1946-1969,beverly hills,terms_bigram,1743,10421,34,43,1.9507,0.4126,1.538,4.7395,5.468237
26,1946-1969,well known,terms_bigram,1743,10421,38,77,2.1801,0.7389,1.4413,2.9687,5.280132
27,1946-1969,symptom formation,terms_bigram,1743,10421,30,21,1.7212,0.2015,1.5197,8.4775,5.218473
28,1946-1969,castration anxiety,terms_bigram,1743,10421,33,48,1.8933,0.4606,1.4327,4.1277,5.052143
29,1946-1969,phyllis greenacre,terms_bigram,1743,10421,27,7,1.5491,0.0672,1.4819,21.9117,4.937932
30,1946-1969,defence against,terms_bigram,1743,10421,34,61,1.9507,0.5854,1.3653,3.3523,4.854128
31,1946-1969,midwinter meeting,terms_bigram,1743,10421,26,4,1.4917,0.0384,1.4533,35.1915,4.78983
32,1946-1969,very early,terms_bigram,1743,10421,33,57,1.8933,0.547,1.3463,3.4816,4.747592
33,1946-1969,lampl-de groot,terms_bigram,1743,10421,26,6,1.4917,0.0576,1.4341,24.3634,4.726576
34,1946-1969,human mind,terms_bigram,1743,10421,31,46,1.7785,0.4414,1.3371,4.0482,4.634127
35,1946-1969,psycho-analytic technique,terms_bigram,1743,10421,25,7,1.4343,0.0672,1.3671,20.3181,4.454263
36,1946-1969,oedipus complex,terms_bigram,1743,10421,51,190,2.926,1.8232,1.1027,1.6155,4.357227
37,1946-1969,reality testing,terms_bigram,1743,10421,30,48,1.7212,0.4606,1.2606,3.7581,4.328754
38,1946-1969,functions ego,terms_bigram,1743,10421,25,16,1.4343,0.1535,1.2808,9.2355,4.172881
39,1946-1969,ernst kris,terms_bigram,1743,10421,24,9,1.3769,0.0864,1.2906,15.4116,4.154192
40,1946-1969,members international,terms_bigram,1743,10421,23,4,1.3196,0.0384,1.2812,31.2076,4.071659
41,1946-1969,take place,terms_bigram,1743,10421,40,125,2.2949,1.1995,1.0954,1.9285,4.06782
42,1946-1969,love object,terms_bigram,1743,10421,27,35,1.5491,0.3359,1.2132,4.6292,4.042607
43,1946-1969,transference situation,terms_bigram,1743,10421,25,22,1.4343,0.2111,1.2232,6.7727,3.985292
44,1946-1969,submitted march,terms_bigram,1743,10421,23,9,1.3196,0.0864,1.2332,14.7825,3.919176
45,1946-1969,mental life,terms_bigram,1743,10421,42,143,2.4096,1.3722,1.0374,1.7699,3.901904
46,1946-1969,michael balint,terms_bigram,1743,10421,23,10,1.3196,0.096,1.2236,13.3747,3.888679
47,1946-1969,shall attempt,terms_bigram,1743,10421,24,18,1.3769,0.1727,1.2042,7.9141,3.876197
48,1946-1969,chicago ill,terms_bigram,1743,10421,24,22,1.3769,0.2111,1.1658,6.5071,3.752643
49,1946-1969,freud himself,terms_bigram,1743,10421,29,59,1.6638,0.5662,1.0976,2.9628,3.733268
50,1946-1969,psychic apparatus,terms_bigram,1743,10421,27,47,1.5491,0.451,1.098,3.4597,3.658897
51,1946-1969,early ego,terms_bigram,1743,10421,22,13,1.2622,0.1247,1.1374,9.9599,3.566448
52,1946-1969,news notes,terms_bigram,1743,10421,20,0,1.1474,0.0,1.1474,245.0126,3.493428
53,1946-1969,interpretation dreams,terms_bigram,1743,10421,29,67,1.6638,0.6429,1.0209,2.6117,3.472165
54,1946-1969,function ego,terms_bigram,1743,10421,22,17,1.2622,0.1631,1.0991,7.6833,3.446095
55,1946-1969,carried out,terms_bigram,1743,10421,32,91,1.8359,0.8732,0.9627,2.1226,3.366012
56,1946-1969,even though,terms_bigram,1743,10421,31,85,1.7785,0.8157,0.9629,2.2017,3.337095
57,1946-1969,ego function,terms_bigram,1743,10421,22,21,1.2622,0.2015,1.0607,6.2539,3.325742
58,1946-1969,psycho-analytic study,terms_bigram,1743,10421,20,6,1.1474,0.0576,1.0899,18.8471,3.318136
59,1946-1969,outside world,terms_bigram,1743,10421,24,37,1.3769,0.3551,1.0219,3.9043,3.289318
60,1946-1969,comments news,terms_bigram,1743,10421,19,0,1.0901,0.0,1.0901,233.0608,3.265572
61,1946-1969,notes comments,terms_bigram,1743,10421,19,0,1.0901,0.0,1.0901,233.0608,3.265572
62,1946-1969,maxwell gitelson,terms_bigram,1743,10421,19,0,1.0901,0.0,1.0901,233.0608,3.265572
63,1946-1969,pleasure principle,terms_bigram,1743,10421,31,88,1.7785,0.8444,0.9341,2.127,3.237323
64,1946-1969,balint michael,terms_bigram,1743,10421,19,1,1.0901,0.0096,1.0805,77.6869,3.236825
65,1946-1969,ralph greenson,terms_bigram,1743,10421,20,10,1.1474,0.096,1.0515,11.6673,3.201275
66,1946-1969,personality structure,terms_bigram,1743,10421,23,34,1.3196,0.3263,0.9933,4.0706,3.15676
67,1946-1969,part ego,terms_bigram,1743,10421,20,12,1.1474,0.1152,1.0323,9.8005,3.142845
68,1946-1969,body image,terms_bigram,1743,10421,23,35,1.3196,0.3359,0.9837,3.9559,3.126263
69,1946-1969,sigmund freud,terms_bigram,1743,10421,41,158,2.3523,1.5162,0.8361,1.5647,3.125054
