rank_within_group,period,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score
66,1946-1969,whole,terms_unigram,1743,10421,178,389,10.2123,3.7328,6.4794,2.7386,33.611306
67,1946-1969,function,terms_unigram,1743,10421,242,811,13.8841,7.7824,6.1017,1.7858,33.517262
68,1946-1969,etc,terms_unigram,1743,10421,152,216,8.7206,2.0727,6.6479,4.2094,33.441642
69,1946-1969,interest,terms_unigram,1743,10421,217,653,12.4498,6.2662,6.1836,1.9889,33.295596
70,1946-1969,importance,terms_unigram,1743,10421,251,874,14.4005,8.3869,6.0135,1.7186,33.251487
71,1946-1969,infantile,terms_unigram,1743,10421,171,350,9.8107,3.3586,6.4521,2.924,33.211987
72,1946-1969,means,terms_unigram,1743,10421,212,622,12.1629,5.9687,6.1942,2.04,33.209026
73,1946-1969,make,terms_unigram,1743,10421,254,899,14.5726,8.6268,5.9458,1.6908,32.94705
74,1946-1969,phase,terms_unigram,1743,10421,165,317,9.4664,3.0419,6.4245,3.115,32.841979
75,1946-1969,external,terms_unigram,1743,10421,195,531,11.1876,5.0955,6.0921,2.1981,32.154946
76,1946-1969,association,terms_unigram,1743,10421,258,941,14.8021,9.0298,5.7722,1.6408,32.075244
77,1946-1969,called,terms_unigram,1743,10421,185,472,10.6139,4.5293,6.0846,2.3461,31.796413
78,1946-1969,often,terms_unigram,1743,10421,287,1133,16.4659,10.8723,5.5936,1.5157,31.676258
79,1946-1969,mechanisms,terms_unigram,1743,10421,173,402,9.9254,3.8576,6.0678,2.576,31.304223
80,1946-1969,seem,terms_unigram,1743,10421,168,369,9.6386,3.5409,6.0976,2.7251,31.28021
81,1946-1969,say,terms_unigram,1743,10421,180,456,10.327,4.3758,5.9512,2.3629,30.937518
82,1946-1969,terms,terms_unigram,1743,10421,243,868,13.9415,8.3293,5.6121,1.6755,30.850906
83,1946-1969,own,terms_unigram,1743,10421,378,1719,21.6867,16.4955,5.1912,1.3154,30.822992
84,1946-1969,still,terms_unigram,1743,10421,199,584,11.4171,5.6041,5.813,2.0397,30.799269
85,1946-1969,scientific,terms_unigram,1743,10421,191,533,10.9581,5.1147,5.8434,2.1451,30.72189
