rank_within_group,journal_key,term,term_col,n_docs_group,n_docs_rest,group_doc_count,rest_doc_count,group_doc_pct,rest_doc_pct,pct_point_lift,ratio_lift,keyness_score
93,ijpa,now,terms_unigram,5423,6741,625,516,11.525,7.6547,3.8703,1.5053,24.922446
94,ijpa,wish,terms_unigram,5423,6741,387,202,7.1363,2.9966,4.1397,2.3786,24.676675
95,ijpa,attempt,terms_unigram,5423,6741,540,410,9.9576,6.0822,3.8754,1.6366,24.389545
96,ijpa,relation,terms_unigram,5423,6741,617,514,11.3775,7.625,3.7525,1.4918,24.115301
97,ijpa,though,terms_unigram,5423,6741,431,271,7.9476,4.0202,3.9275,1.9755,23.833471
98,ijpa,points,terms_unigram,5423,6741,422,259,7.7817,3.8422,3.9395,2.0238,23.823688
99,ijpa,problems,terms_unigram,5423,6741,587,478,10.8243,7.0909,3.7333,1.5261,23.806432
100,ijpa,quite,terms_unigram,5423,6741,347,159,6.3987,2.3587,4.04,2.7081,23.642733
1,japa,american,terms_unigram,2924,9240,482,509,16.4843,5.5087,10.9756,2.9919,67.829453
2,japa,submitted,terms_unigram,2924,9240,355,68,12.1409,0.7359,11.405,16.3962,67.003421
3,japa,summary,terms_unigram,2924,9240,613,1106,20.9644,11.9697,8.9947,1.7517,57.746155
4,japa,presented,terms_unigram,2924,9240,567,957,19.3912,10.3571,9.0341,1.8725,57.295372
5,japa,east,terms_unigram,2924,9240,370,317,12.6539,3.4307,9.2232,3.6867,54.566095
6,japa,psychiatry,terms_unigram,2924,9240,432,549,14.7743,5.9416,8.8327,2.4866,53.621147
7,japa,association,terms_unigram,2924,9240,478,721,16.3475,7.803,8.5444,2.0953,52.733719
8,japa,fax,terms_unigram,2924,9240,249,8,8.5157,0.0866,8.4292,92.7352,46.541232
9,japa,center,terms_unigram,2924,9240,381,620,13.0301,6.71,6.3201,1.9424,37.575885
10,japa,training,terms_unigram,2924,9240,486,1002,16.6211,10.8442,5.7769,1.5332,35.749052
11,japa,behavior,terms_unigram,2924,9240,225,181,7.6949,1.9589,5.7361,3.9252,31.092536
12,japa,supervising,terms_unigram,2924,9240,278,381,9.5075,4.1234,5.3841,2.3063,30.319274
13,japa,professor,terms_unigram,2924,9240,346,628,11.8331,6.7965,5.0366,1.7418,29.460525
14,japa,ego,terms_unigram,2924,9240,473,1057,16.1765,11.4394,4.7371,1.4146,29.186111
15,japa,defense,terms_unigram,2924,9240,196,131,6.7031,1.4177,5.2854,4.721,27.923832
16,japa,meeting,terms_unigram,2924,9240,229,270,7.8317,2.9221,4.9097,2.6805,26.699117
17,japa,suite,terms_unigram,2924,9240,296,536,10.1231,5.8009,4.3223,1.746,24.609752
18,japa,psychoanalysts,terms_unigram,2924,9240,283,522,9.6785,5.6494,4.0292,1.7142,22.760688
19,japa,medical,terms_unigram,2924,9240,275,502,9.4049,5.4329,3.972,1.7321,22.324369
20,japa,study,terms_unigram,2924,9240,563,1463,19.2544,15.8333,3.4211,1.2165,21.672934
21,japa,december,terms_unigram,2924,9240,153,95,5.2326,1.0281,4.2044,5.0781,21.177462
22,japa,west,terms_unigram,2924,9240,276,525,9.4391,5.6818,3.7573,1.6623,21.131156
23,japa,role,terms_unigram,2924,9240,449,1113,15.3557,12.0455,3.3102,1.2754,20.222969
24,japa,chicago,terms_unigram,2924,9240,180,244,6.156,2.6407,3.5153,2.3323,18.274059
25,japa,columbia,terms_unigram,2924,9240,141,127,4.8222,1.3745,3.4477,3.5062,17.086218
26,japa,panel,terms_unigram,2924,9240,150,172,5.13,1.8615,3.2685,2.7564,16.398914
27,japa,medicine,terms_unigram,2924,9240,177,267,6.0534,2.8896,3.1637,2.0964,16.393822
28,japa,defenses,terms_unigram,2924,9240,126,89,4.3092,0.9632,3.346,4.4654,16.208466
29,japa,fantasies,terms_unigram,2924,9240,204,366,6.9767,3.961,3.0157,1.7628,16.052629
30,japa,conflicts,terms_unigram,2924,9240,225,438,7.6949,4.7403,2.9547,1.6247,16.015939
31,japa,robert,terms_unigram,2924,9240,176,290,6.0192,3.1385,2.8806,1.9195,14.91054
32,japa,michigan,terms_unigram,2924,9240,122,108,4.1724,1.1688,3.0035,3.567,14.453566
33,japa,aol,terms_unigram,2924,9240,177,302,6.0534,3.2684,2.785,1.8538,14.431025
34,japa,washington,terms_unigram,2924,9240,135,165,4.617,1.7857,2.8312,2.5866,13.908948
35,japa,park,terms_unigram,2924,9240,168,282,5.7456,3.0519,2.6936,1.8844,13.817926
36,japa,japa,terms_unigram,2924,9240,89,10,3.0438,0.1082,2.9356,26.9294,13.209419
37,japa,studies,terms_unigram,2924,9240,302,741,10.3283,8.0195,2.3088,1.2889,13.192077
