journal_id,journal_label,pep_code_candidate,probe_year,document_id,pep_code_record,year_record,title,authors,source_title,volume,issue,pages,doi,article_type,has_abstract,has_keywords,n_keywords,keywords_joined,keyword_source,art_kwds_count,source_file,harvest_file,harvest_year_from_filename
ijpa,International Journal of Psychoanalysis,IJP,1920,IJP.001.0256A,IJP,1920,A Linguistic Factor in English Characterology,Ernest Jones,International Journal of Psychoanalysis ,1,,256-261,,ART,True,False,0,,,0,data\raw_pep_metadata\ijpa\1920\ijpa_IJP_1920_art_id_IJP._AND_year_1920.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\ijpa\ijpa_1920_pep_articles_raw.csv,1920
ijpa,International Journal of Psychoanalysis,IJP,1920,IJP.001.0414A,IJP,1920,A Note on Hazlitt,L. C. Martin,International Journal of Psychoanalysis ,1,,414-419,,ART,True,False,0,,,0,data\raw_pep_metadata\ijpa\1920\ijpa_IJP_1920_art_id_IJP._AND_year_1920.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\ijpa\ijpa_1920_pep_articles_raw.csv,1920
ijpa,International Journal of Psychoanalysis,IJP,1920,IJP.001.0231A,IJP,1920,The Reversal of the Libido-Sign in Delusions of Persecution,August Stärcke,International Journal of Psychoanalysis ,1,,231-234,,ART,True,False,0,,,0,data\raw_pep_metadata\ijpa\1920\ijpa_IJP_1920_art_id_IJP._AND_year_1920.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\ijpa\ijpa_1920_pep_articles_raw.csv,1920
ijpa,International Journal of Psychoanalysis,IJP,1920,IJP.001.0235A,IJP,1920,On the Origin of the Feeling of Persecution,J. H.W. Van Ophuijsen,International Journal of Psychoanalysis ,1,,235-239,,ART,True,False,0,,,0,data\raw_pep_metadata\ijpa\1920\ijpa_IJP_1920_art_id_IJP._AND_year_1920.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\ijpa\ijpa_1920_pep_articles_raw.csv,1920
ijpa,International Journal of Psychoanalysis,IJP,1920,IJP.001.0024A,IJP,1920,On the Character and Married Life of Henry VIII,I. C. Flügel,International Journal of Psychoanalysis ,1,,24-55,,ART,True,False,0,,,0,data\raw_pep_metadata\ijpa\1920\ijpa_IJP_1920_art_id_IJP._AND_year_1920.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\ijpa\ijpa_1920_pep_articles_raw.csv,1920
ijpa,International Journal of Psychoanalysis,IJP,1920,IJP.001.0240A,IJP,1920,A Case of War Shock Resulting from Sex-Inversion,C. W.S. Davies-Jones,International Journal of Psychoanalysis ,1,,240-244,,ART,True,False,0,,,0,data\raw_pep_metadata\ijpa\1920\ijpa_IJP_1920_art_id_IJP._AND_year_1920.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\ijpa\ijpa_1920_pep_articles_raw.csv,1920
ijpa,International Journal of Psychoanalysis,IJP,1920,IJP.001.0150A,IJP,1920,A Study of Primary Somatic Factors in Compulsive and Obsessive Neuroses,L. Pierce Clark,International Journal of Psychoanalysis ,1,,150-160,,ART,True,False,0,,,0,data\raw_pep_metadata\ijpa\1920\ijpa_IJP_1920_art_id_IJP._AND_year_1920.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\ijpa\ijpa_1920_pep_articles_raw.csv,1920
ijpa,International Journal of Psychoanalysis,IJP,1921,IJP.002.0150A,IJP,1921,Internationaler Psychoanalytischer Verlag,,International Journal of Psychoanalysis ,2,,150-150,,ART,True,False,0,,,0,data\raw_pep_metadata\ijpa\1921\ijpa_IJP_1921_art_id_IJP._AND_year_1921.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\ijpa\ijpa_1921_pep_articles_raw.csv,1921
ijpa,International Journal of Psychoanalysis,IJP,1921,IJP.002.0206A,IJP,1921,A Note on the Symbolic Use of Figures,Owen Berkeley-Hill,International Journal of Psychoanalysis ,2,,206-206,,ART,True,False,0,,,0,data\raw_pep_metadata\ijpa\1921\ijpa_IJP_1921_art_id_IJP._AND_year_1921.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\ijpa\ijpa_1921_pep_articles_raw.csv,1921
ijpa,International Journal of Psychoanalysis,IJP,1921,IJP.002.0416A,IJP,1921,A Birth of the Hero Myth from Kashmir,M. R.C. Macwatters,International Journal of Psychoanalysis ,2,,416-419,,ART,True,False,0,,,0,data\raw_pep_metadata\ijpa\1921\ijpa_IJP_1921_art_id_IJP._AND_year_1921.json,C:\Users\lkali\Documents\GitHub\andromeda\data_psychoanalytic_core\data\harvest\articles_by_year\ijpa\ijpa_1921_pep_articles_raw.csv,1921
