url,year,volume,issue,doi,keyword_raw,keyword_norm,keyword_pl,keyword_pl_norm,keyword_semantic_auto,keyword_final_clean,keyword_final_polish,,,,,,
"https://www.psychiatriapolska.pl/Olanzapine-in-the-treatment-of-schizophrenia-in-adolescents-mechanisms-of-action,214532,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/214532,schizophrenia,schizophrenia,schizophrenia,schizophrenia,schizophrenia,schizofrenia,schizofrenia,,,,,,
"https://www.psychiatriapolska.pl/Olanzapine-in-the-treatment-of-schizophrenia-in-adolescents-mechanisms-of-action,214532,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/214532,olanzapine,olanzapine,olanzapine,olanzapine,olanzapine,olanzapine,olanzapine,,,,,,
"https://www.psychiatriapolska.pl/Olanzapine-in-the-treatment-of-schizophrenia-in-adolescents-mechanisms-of-action,214532,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/214532,Farmakoterapia i farmakologia,farmakoterapia i farmakologia,farmakoterapia i farmakologia,farmakoterapia i farmakologia,farmakoterapia,farmakoterapia,farmakoterapia,,,,,,
"https://www.psychiatriapolska.pl/Minority-stress-and-the-psychological-well-being-of-non-heteronormative-people-The,199788,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/OnlineFirst/199788,Psychiatria środowiskowa,psychiatria środowiskowa,psychiatria środowiskowa,psychiatria środowiskowa,psychiatria środowiskowa,psychiatria środowiskowa,psychiatria środowiskowa,,,,,,
"https://www.psychiatriapolska.pl/Psychiatrists-reactions-to-a-patient-s-suicide-narrative-review,193253,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/OnlineFirst/193253,samobójstwo pacjenta,samobójstwo pacjenta,samobójstwo pacjenta,samobójstwo pacjenta,samobójstwo,samobójstwo,samobójstwo,,,,,,
"https://www.psychiatriapolska.pl/Psychiatrists-reactions-to-a-patient-s-suicide-narrative-review,193253,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/OnlineFirst/193253,Psychiatria środowiskowa,psychiatria środowiskowa,psychiatria środowiskowa,psychiatria środowiskowa,psychiatria środowiskowa,psychiatria środowiskowa,psychiatria środowiskowa,,,,,,
"https://www.psychiatriapolska.pl/Psychiatrists-reactions-to-a-patient-s-suicide-narrative-review,193253,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/OnlineFirst/193253,Zaburzenia afektywne,zaburzenia afektywne,zaburzenia afektywne,zaburzenia afektywne,zaburzenia afektywne,zaburzenia afektywne,zaburzenia afektywne,,,,,,
"https://www.psychiatriapolska.pl/Letter-to-the-Editor-Diagnosis-of-immune-encephalitis-requires-a-workup-for-specific,189675,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/189675,Letter to editor,letter to editor,letter to editor,letter to editor,letter to editor,letter to editor,letter to editor,,,,,,
"https://www.psychiatriapolska.pl/Treatment-of-insomnia-effect-of-trazodone-and-hypnotics-on-sleep,125650,0,1.html",2021.0,55.0,4.0,https://doi.org/10.12740/PP/125650,bezsenność,bezsenność,bezsenność,bezsenność,bezsenność,bezsenność,bezsenność,,,,,,
"https://www.psychiatriapolska.pl/Treatment-of-insomnia-effect-of-trazodone-and-hypnotics-on-sleep,125650,0,1.html",2021.0,55.0,4.0,https://doi.org/10.12740/PP/125650,farmakoterapia,farmakoterapia,farmakoterapia,farmakoterapia,farmakoterapia,farmakoterapia,farmakoterapia,,,,,,
"https://www.psychiatriapolska.pl/Treatment-of-insomnia-effect-of-trazodone-and-hypnotics-on-sleep,125650,0,1.html",2021.0,55.0,4.0,https://doi.org/10.12740/PP/125650,trazodon,trazodon,trazodon,trazodon,trazodon,trazodon,trazodon,,,,,,
"https://www.psychiatriapolska.pl/Treatment-of-insomnia-effect-of-trazodone-and-hypnotics-on-sleep,125650,0,1.html",2021.0,55.0,4.0,https://doi.org/10.12740/PP/125650,Farmakoterapia i farmakologia,farmakoterapia i farmakologia,farmakoterapia i farmakologia,farmakoterapia i farmakologia,farmakoterapia,farmakoterapia,farmakoterapia,,,,,,
"https://www.psychiatriapolska.pl/Polish-adaptation-of-the-Structured-Interview-of-Personality-Organization-STIPO-R,207497,0,1.html",,,,https://doi.org/10.12740/PP/OnlineFirst/207497,personality disorders,personality disorders,personality disorders,personality disorders,personality disorders,zaburzenia osobowości,zaburzenia osobowości,,,,,,
"https://www.psychiatriapolska.pl/Polish-adaptation-of-the-Structured-Interview-of-Personality-Organization-STIPO-R,207497,0,1.html",,,,https://doi.org/10.12740/PP/OnlineFirst/207497,structured clinical interview,structured clinical interview,structured clinical interview,structured clinical interview,structured clinical interview,structured clinical interview,structured clinical interview,,,,,,
"https://www.psychiatriapolska.pl/Polish-adaptation-of-the-Structured-Interview-of-Personality-Organization-STIPO-R,207497,0,1.html",,,,https://doi.org/10.12740/PP/OnlineFirst/207497,validity,validity,validity,validity,validity,validity,validity,,,,,,
"https://www.psychiatriapolska.pl/Polish-adaptation-of-the-Structured-Interview-of-Personality-Organization-STIPO-R,207497,0,1.html",,,,https://doi.org/10.12740/PP/OnlineFirst/207497,Zaburzenia osobowości,zaburzenia osobowości,zaburzenia osobowości,zaburzenia osobowości,zaburzenia osobowości,zaburzenia osobowości,zaburzenia osobowości,,,,,,
"https://www.psychiatriapolska.pl/ICD-11-vs-ICD-10-a-review-of-updates-and-novelties-introduced-in-the-latest-version,103876,0,1.html",2020.0,54.0,1.0,https://doi.org/10.12740/PP/103876,klasyfikacja,klasyfikacja,klasyfikacja,klasyfikacja,klasyfikacja,klasyfikacja,klasyfikacja,,,,,,
