journal_key,semantic_family,n_articles_initial,pct_articles_group_initial,n_articles_group_initial,n_articles_refined,pct_articles_group_refined,n_articles_group_refined,delta_pct_refined_minus_initial,absolute_pct_drop,relative_retention_pct
psychoanalytic_psychology,technique_interpretation_process,263,19.2111,1369,214,15.6318,1369,-3.5793,3.5793,81.37
psychoanalytic_psychology,relational_intersubjective_field,574,41.9284,1369,425,31.0446,1369,-10.8838,10.8838,74.04
psychoanalytic_psychology,trauma_dissociation_affect_regulation,470,34.3316,1369,274,20.0146,1369,-14.317,14.317,58.3
psychoanalytic_psychology,psychosis_borderline_primitive_states,91,6.6472,1369,76,5.5515,1369,-1.0957,1.0957,83.52
psychoanalytic_psychology,body_sexuality_gender,236,17.2389,1369,196,14.317,1369,-2.9219,2.9219,83.05
psychoanalytic_psychology,language_narrative_symbolization,237,17.3119,1369,159,11.6143,1369,-5.6976,5.6976,67.09
psychoanalytic_psychology,culture_race_social_ethics,273,19.9416,1369,115,8.4003,1369,-11.5413,11.5413,42.12
psychoanalytic_psychology,empirical_research_measurement,335,24.4704,1369,293,21.4025,1369,-3.0679,3.0679,87.46
psychoanalytic_psychology,history_theory_schools,254,18.5537,1369,28,2.0453,1369,-16.5084,16.5084,11.02
psychoanalytic_psychotherapy,drive_conflict_defense,194,22.2989,870,194,22.2989,870,0.0,0.0,100.0
psychoanalytic_psychotherapy,dream_fantasy_unconscious,132,15.1724,870,53,6.092,870,-9.0804,9.0804,40.15
psychoanalytic_psychotherapy,ego_self_narcissism,212,24.3678,870,80,9.1954,870,-15.1724,15.1724,37.74
psychoanalytic_psychotherapy,object_relations,191,21.954,870,134,15.4023,870,-6.5517,6.5517,70.16
psychoanalytic_psychotherapy,kleinian_bionian,68,7.8161,870,68,7.8161,870,0.0,0.0,100.0
psychoanalytic_psychotherapy,winnicottian_environment_holding,88,10.1149,870,9,1.0345,870,-9.0804,9.0804,10.23
psychoanalytic_psychotherapy,attachment_development_infant,310,35.6322,870,177,20.3448,870,-15.2874,15.2874,57.1
psychoanalytic_psychotherapy,transference_countertransference,128,14.7126,870,128,14.7126,870,0.0,0.0,100.0
psychoanalytic_psychotherapy,technique_interpretation_process,208,23.908,870,92,10.5747,870,-13.3333,13.3333,44.23
psychoanalytic_psychotherapy,relational_intersubjective_field,290,33.3333,870,187,21.4943,870,-11.839,11.839,64.48
psychoanalytic_psychotherapy,trauma_dissociation_affect_regulation,293,33.6782,870,123,14.1379,870,-19.5403,19.5403,41.98
psychoanalytic_psychotherapy,psychosis_borderline_primitive_states,136,15.6322,870,111,12.7586,870,-2.8736,2.8736,81.62
psychoanalytic_psychotherapy,body_sexuality_gender,120,13.7931,870,82,9.4253,870,-4.3678,4.3678,68.33
psychoanalytic_psychotherapy,language_narrative_symbolization,101,11.6092,870,60,6.8966,870,-4.7126,4.7126,59.41
psychoanalytic_psychotherapy,culture_race_social_ethics,221,25.4023,870,91,10.4598,870,-14.9425,14.9425,41.18
psychoanalytic_psychotherapy,empirical_research_measurement,227,26.092,870,196,22.5287,870,-3.5633,3.5633,86.34
psychoanalytic_psychotherapy,history_theory_schools,75,8.6207,870,17,1.954,870,-6.6667,6.6667,22.67
