journal_key,period,semantic_family,n_articles_initial,pct_articles_group_initial,n_articles_group_initial,n_articles_refined,pct_articles_group_refined,n_articles_group_refined,delta_pct_refined_minus_initial,absolute_pct_drop,relative_retention_pct
japa,2010-2025,trauma_dissociation_affect_regulation,213,29.1781,730,98.0,13.4247,730.0,-15.7534,15.7534,46.01
japa,2010-2025,psychosis_borderline_primitive_states,39,5.3425,730,27.0,3.6986,730.0,-1.6439,1.6439,69.23
japa,2010-2025,body_sexuality_gender,117,16.0274,730,84.0,11.5068,730.0,-4.5206,4.5206,71.79
japa,2010-2025,language_narrative_symbolization,199,27.2603,730,148.0,20.274,730.0,-6.9863,6.9863,74.37
japa,2010-2025,culture_race_social_ethics,183,25.0685,730,89.0,12.1918,730.0,-12.8767,12.8767,48.63
japa,2010-2025,empirical_research_measurement,112,15.3425,730,89.0,12.1918,730.0,-3.1507,3.1507,79.46
japa,2010-2025,history_theory_schools,195,26.7123,730,25.0,3.4247,730.0,-23.2876,23.2876,12.82
psychoanalytic_dialogues,1990-2009,drive_conflict_defense,114,21.3084,535,114.0,21.3084,535.0,0.0,0.0,100.0
psychoanalytic_dialogues,1990-2009,dream_fantasy_unconscious,153,28.5981,535,79.0,14.7664,535.0,-13.8317,13.8317,51.63
psychoanalytic_dialogues,1990-2009,ego_self_narcissism,260,48.5981,535,101.0,18.8785,535.0,-29.7196,29.7196,38.85
psychoanalytic_dialogues,1990-2009,object_relations,119,22.243,535,69.0,12.8972,535.0,-9.3458,9.3458,57.98
psychoanalytic_dialogues,1990-2009,kleinian_bionian,26,4.8598,535,26.0,4.8598,535.0,0.0,0.0,100.0
psychoanalytic_dialogues,1990-2009,winnicottian_environment_holding,66,12.3364,535,13.0,2.4299,535.0,-9.9065,9.9065,19.7
psychoanalytic_dialogues,1990-2009,attachment_development_infant,151,28.2243,535,73.0,13.6449,535.0,-14.5794,14.5794,48.34
psychoanalytic_dialogues,1990-2009,transference_countertransference,151,28.2243,535,151.0,28.2243,535.0,0.0,0.0,100.0
psychoanalytic_dialogues,1990-2009,technique_interpretation_process,149,27.8505,535,125.0,23.3645,535.0,-4.486,4.486,83.89
psychoanalytic_dialogues,1990-2009,relational_intersubjective_field,356,66.5421,535,277.0,51.7757,535.0,-14.7664,14.7664,77.81
psychoanalytic_dialogues,1990-2009,trauma_dissociation_affect_regulation,176,32.8972,535,102.0,19.0654,535.0,-13.8318,13.8318,57.95
psychoanalytic_dialogues,1990-2009,psychosis_borderline_primitive_states,14,2.6168,535,6.0,1.1215,535.0,-1.4953,1.4953,42.86
