journal_key,period,semantic_family,n_articles,n_family_hits,total_terms_hit,n_articles_group,pct_articles_group
ijpa,1990-2009,body_sexuality_gender,263,263,390,1396,18.8395
ijpa,1990-2009,language_narrative_symbolization,399,399,500,1396,28.5817
ijpa,1990-2009,culture_race_social_ethics,252,252,347,1396,18.0516
ijpa,1990-2009,empirical_research_measurement,164,164,218,1396,11.7479
ijpa,1990-2009,history_theory_schools,442,442,808,1396,31.6619
ijpa,2010-2025,drive_conflict_defense,395,395,745,1221,32.3505
ijpa,2010-2025,dream_fantasy_unconscious,407,407,651,1221,33.3333
ijpa,2010-2025,ego_self_narcissism,424,424,601,1221,34.7256
ijpa,2010-2025,object_relations,408,408,821,1221,33.4152
ijpa,2010-2025,kleinian_bionian,166,166,269,1221,13.5954
ijpa,2010-2025,winnicottian_environment_holding,214,214,239,1221,17.5266
ijpa,2010-2025,attachment_development_infant,436,436,682,1221,35.7084
ijpa,2010-2025,transference_countertransference,248,248,417,1221,20.3112
ijpa,2010-2025,technique_interpretation_process,358,358,494,1221,29.3202
ijpa,2010-2025,relational_intersubjective_field,425,425,591,1221,34.8075
ijpa,2010-2025,trauma_dissociation_affect_regulation,373,373,497,1221,30.5487
ijpa,2010-2025,psychosis_borderline_primitive_states,131,131,159,1221,10.7289
ijpa,2010-2025,body_sexuality_gender,254,254,378,1221,20.8026
ijpa,2010-2025,language_narrative_symbolization,334,334,415,1221,27.3546
ijpa,2010-2025,culture_race_social_ethics,328,328,538,1221,26.8632
ijpa,2010-2025,empirical_research_measurement,98,98,137,1221,8.0262
ijpa,2010-2025,history_theory_schools,450,450,873,1221,36.855
japa,1946-1969,drive_conflict_defense,252,252,659,538,46.8401
japa,1946-1969,dream_fantasy_unconscious,222,222,408,538,41.2639
japa,1946-1969,ego_self_narcissism,255,255,517,538,47.3978
japa,1946-1969,object_relations,156,156,337,538,28.9963
japa,1946-1969,kleinian_bionian,2,2,2,538,0.3717
japa,1946-1969,winnicottian_environment_holding,119,119,132,538,22.119
japa,1946-1969,attachment_development_infant,237,237,422,538,44.052
japa,1946-1969,transference_countertransference,89,89,130,538,16.5428
japa,1946-1969,technique_interpretation_process,134,134,186,538,24.9071
japa,1946-1969,relational_intersubjective_field,150,150,198,538,27.881
japa,1946-1969,trauma_dissociation_affect_regulation,169,169,224,538,31.4126
japa,1946-1969,psychosis_borderline_primitive_states,62,62,75,538,11.5242
japa,1946-1969,body_sexuality_gender,130,130,216,538,24.1636
japa,1946-1969,language_narrative_symbolization,120,120,140,538,22.3048
japa,1946-1969,culture_race_social_ethics,80,80,100,538,14.8699
japa,1946-1969,empirical_research_measurement,70,70,84,538,13.0112
japa,1946-1969,history_theory_schools,208,208,371,538,38.6617
japa,1970-1989,drive_conflict_defense,332,332,788,681,48.7518
japa,1970-1989,dream_fantasy_unconscious,222,222,381,681,32.5991
japa,1970-1989,ego_self_narcissism,320,320,673,681,46.9897
japa,1970-1989,object_relations,213,213,485,681,31.2775
japa,1970-1989,kleinian_bionian,5,5,7,681,0.7342
japa,1970-1989,winnicottian_environment_holding,97,97,109,681,14.2438
japa,1970-1989,attachment_development_infant,264,264,496,681,38.7665
japa,1970-1989,transference_countertransference,134,134,207,681,19.6769
japa,1970-1989,technique_interpretation_process,180,180,252,681,26.4317
japa,1970-1989,relational_intersubjective_field,133,133,194,681,19.5301
japa,1970-1989,trauma_dissociation_affect_regulation,175,175,222,681,25.6975
japa,1970-1989,psychosis_borderline_primitive_states,61,61,81,681,8.9574
japa,1970-1989,body_sexuality_gender,112,112,181,681,16.4464
japa,1970-1989,language_narrative_symbolization,128,128,156,681,18.7959
japa,1970-1989,culture_race_social_ethics,80,80,91,681,11.7474
japa,1970-1989,empirical_research_measurement,96,96,121,681,14.0969
japa,1970-1989,history_theory_schools,219,219,400,681,32.1586
japa,1990-2009,drive_conflict_defense,352,352,755,975,36.1026
japa,1990-2009,dream_fantasy_unconscious,293,293,478,975,30.0513
japa,1990-2009,ego_self_narcissism,339,339,495,975,34.7692
japa,1990-2009,object_relations,194,194,374,975,19.8974
japa,1990-2009,kleinian_bionian,17,17,20,975,1.7436
japa,1990-2009,winnicottian_environment_holding,122,122,142,975,12.5128
japa,1990-2009,attachment_development_infant,341,341,597,975,34.9744
japa,1990-2009,transference_countertransference,200,200,358,975,20.5128
japa,1990-2009,technique_interpretation_process,288,288,393,975,29.5385
japa,1990-2009,relational_intersubjective_field,301,301,462,975,30.8718
japa,1990-2009,trauma_dissociation_affect_regulation,289,289,407,975,29.641
japa,1990-2009,psychosis_borderline_primitive_states,54,54,74,975,5.5385
japa,1990-2009,body_sexuality_gender,172,172,354,975,17.641
japa,1990-2009,language_narrative_symbolization,204,204,247,975,20.9231
japa,1990-2009,culture_race_social_ethics,168,168,224,975,17.2308
japa,1990-2009,empirical_research_measurement,196,196,314,975,20.1026
japa,1990-2009,history_theory_schools,254,254,460,975,26.0513
