rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base
119,analyst patient,2,57,51,3.232,1578
120,street san,2,57,55,3.485,1578
121,faculty supervising,2,57,51,3.232,1578
122,east street,2,57,57,3.612,1578
123,gillian straker,2,57,12,0.76,1578
124,relational psychoanalytic,2,56,45,2.852,1578
125,christopher bonovitz,2,56,12,0.76,1578
126,theory practice,2,55,41,2.598,1578
127,adjunct clinical,2,55,47,2.978,1578
128,psychoanalysis psychoanalytic,2,55,54,3.422,1578
129,transference countertransference,2,54,44,2.788,1578
130,department psychiatry,2,54,51,3.232,1578
131,consulting room,2,54,42,2.662,1578
132,psychoanalytic subjectivity,2,53,46,2.915,1578
133,california usa,2,53,49,3.105,1578
134,faculty new,2,52,49,3.105,1578
135,united states,2,52,46,2.915,1578
136,tel aviv,2,52,30,1.901,1578
137,clinical material,2,51,47,2.978,1578
138,rachael peltz,2,50,11,0.697,1578
139,susan bodnar,2,50,12,0.76,1578
140,boston psychoanalytic,2,49,43,2.725,1578
141,society institute,2,49,44,2.788,1578
142,member international,2,49,47,2.978,1578
143,phd lauren,2,49,33,2.091,1578
144,http orcid,2,49,47,2.978,1578
145,orcid org,2,49,47,2.978,1578
146,phd stephen,2,48,44,2.788,1578
147,psychoanalysis new,2,48,45,2.852,1578
148,past president,2,48,43,2.725,1578
149,editorial boards,2,48,46,2.915,1578
150,between patient,2,47,43,2.725,1578
151,peter shabad,2,47,10,0.634,1578
152,melanie suchet,2,47,13,0.824,1578
153,faculty nyu,2,47,41,2.598,1578
154,barbara pizer,2,46,14,0.887,1578
155,clinical associate,2,46,45,2.852,1578
156,school medicine,2,45,41,2.598,1578
157,one another,2,44,42,2.662,1578
158,therapeutic process,2,44,36,2.281,1578
159,contemporary psychotherapy,2,44,41,2.598,1578
160,maintains private,2,44,44,2.788,1578
161,jessica benjamin,2,43,16,1.014,1578
162,university california,2,43,38,2.408,1578
163,california san,2,43,36,2.281,1578
164,jody messler,2,43,17,1.077,1578
165,messler davies,2,43,17,1.077,1578
166,central park,2,42,42,2.662,1578
167,park west,2,42,42,2.662,1578
168,robert stolorow,2,42,13,0.824,1578
169,faculty psychoanalytic,2,42,42,2.662,1578
170,therapeutic relationship,2,42,30,1.901,1578
171,psychoanalytic self,2,42,33,2.091,1578
172,psychoanalysis net,2,42,35,2.218,1578
173,spyros orfanos,2,42,9,0.57,1578
174,brent willock,2,42,7,0.444,1578
175,gonz lez,2,42,12,0.76,1578
176,phd amy,2,42,32,2.028,1578
177,psychoanalytic process,2,41,37,2.345,1578
178,division psychoanalysis,2,41,39,2.471,1578
179,personal supervising,2,41,41,2.598,1578
180,robert grossmark,2,41,11,0.697,1578
181,jade mcgleughlin,2,41,10,0.634,1578
182,somatic experiencing,2,41,10,0.634,1578
183,veronica csillag,2,41,9,0.57,1578
184,hartman phd,2,41,40,2.535,1578
185,neil altman,2,40,17,1.077,1578
186,professor clinical,2,40,38,2.408,1578
187,training research,2,40,39,2.471,1578
188,philip ringstrom,2,40,10,0.634,1578
189,francisco center,2,40,38,2.408,1578
190,university new,2,39,34,2.155,1578
191,same time,2,39,34,2.155,1578
192,analytic work,2,39,38,2.408,1578
193,margaret crastnopol,2,39,10,0.634,1578
194,levine phd,2,39,39,2.471,1578
195,analyst william,2,38,37,2.345,1578
196,psychoanalytic psychology,2,38,32,2.028,1578
197,founding member,2,38,35,2.218,1578
198,beatrice beebe,2,38,15,0.951,1578
199,orna guralnik,2,38,9,0.57,1578
200,clinical consultant,2,38,34,2.155,1578
201,member institute,2,37,34,2.155,1578
202,clinical vignette,2,37,36,2.281,1578
203,analyst institute,2,37,33,2.091,1578
204,analyst psychoanalytic,2,37,35,2.218,1578
205,potential space,2,37,20,1.267,1578
206,child adolescent,2,37,36,2.281,1578
207,cooney phd,2,37,37,2.345,1578
208,manhattan institute,2,36,33,2.091,1578
209,psychoanalyst private,2,36,36,2.281,1578
210,charles spezzano,2,36,10,0.634,1578
211,glen gabbard,2,36,9,0.57,1578
212,supervisor new,2,36,35,2.218,1578
213,lynne layton,2,36,10,0.634,1578
214,sally swartz,2,36,6,0.38,1578
215,francisco california,2,36,33,2.091,1578
216,community psychoanalysis,2,36,18,1.141,1578
217,gila ashtor,2,36,12,0.76,1578
218,paul wachtel,2,35,7,0.444,1578
219,psychoanalysis clinical,2,35,35,2.218,1578
220,president international,2,35,33,2.091,1578
221,runninghead psychoanalytic,2,35,35,2.218,1578
222,editor gender,2,35,35,2.218,1578
