journal_key,n_records_group,rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base
psychoanalytic_dialogues,1578,51,program psychoanalysis,2,105,91,5.767,1578
psychoanalytic_dialogues,1578,52,mental health,2,105,75,4.753,1578
psychoanalytic_dialogues,1578,53,international association,2,104,92,5.83,1578
psychoanalytic_dialogues,1578,54,massachusetts institute,2,103,91,5.767,1578
psychoanalytic_dialogues,1578,55,joyce slochower,2,103,23,1.458,1578
psychoanalytic_dialogues,1578,56,street suite,2,102,102,6.464,1578
psychoanalytic_dialogues,1578,57,mitchell center,2,102,93,5.894,1578
psychoanalytic_dialogues,1578,58,clinical work,2,100,82,5.196,1578
psychoanalytic_dialogues,1578,59,steven cooper,2,99,24,1.521,1578
psychoanalytic_dialogues,1578,60,faculty supervisor,2,98,83,5.26,1578
psychoanalytic_dialogues,1578,61,los angeles,2,96,61,3.866,1578
psychoanalytic_dialogues,1578,62,psychoanalytic association,2,95,74,4.689,1578
psychoanalytic_dialogues,1578,63,center psychoanalysis,2,93,87,5.513,1578
psychoanalytic_dialogues,1578,64,associate professor,2,93,91,5.767,1578
psychoanalytic_dialogues,1578,65,donnel stern,2,93,24,1.521,1578
psychoanalytic_dialogues,1578,66,psychoanalytic society,2,91,78,4.943,1578
psychoanalytic_dialogues,1578,67,national institute,2,89,85,5.387,1578
psychoanalytic_dialogues,1578,68,clinical psychologist,2,89,87,5.513,1578
psychoanalytic_dialogues,1578,69,center relational,2,89,82,5.196,1578
psychoanalytic_dialogues,1578,70,institute psychotherapies,2,88,84,5.323,1578
psychoanalytic_dialogues,1578,71,anthony bass,2,88,21,1.331,1578
psychoanalytic_dialogues,1578,72,patient analyst,2,87,73,4.626,1578
psychoanalytic_dialogues,1578,73,therapeutic action,2,87,55,3.485,1578
psychoanalytic_dialogues,1578,74,clinical psychology,2,85,76,4.816,1578
psychoanalytic_dialogues,1578,75,york e-mail,2,85,85,5.387,1578
psychoanalytic_dialogues,1578,76,steven knoblauch,2,83,19,1.204,1578
psychoanalytic_dialogues,1578,77,analytic process,2,82,56,3.549,1578
psychoanalytic_dialogues,1578,78,jody davies,2,82,25,1.584,1578
psychoanalytic_dialogues,1578,79,institute psychoanalytic,2,81,71,4.499,1578
psychoanalytic_dialogues,1578,80,professor psychiatry,2,81,75,4.753,1578
psychoanalytic_dialogues,1578,81,muriel dimen,2,80,27,1.711,1578
psychoanalytic_dialogues,1578,82,association relational,2,80,77,4.88,1578
psychoanalytic_dialogues,1578,83,jack foehl,2,79,34,2.155,1578
psychoanalytic_dialogues,1578,84,psychoanalytic treatment,2,78,54,3.422,1578
psychoanalytic_dialogues,1578,85,clinical practice,2,76,61,3.866,1578
psychoanalytic_dialogues,1578,86,sue grand,2,75,22,1.394,1578
psychoanalytic_dialogues,1578,87,amy schwartz,2,75,26,1.648,1578
psychoanalytic_dialogues,1578,88,schwartz cooney,2,75,26,1.648,1578
psychoanalytic_dialogues,1578,89,harvard medical,2,73,69,4.373,1578
psychoanalytic_dialogues,1578,90,psychoanalytic psychotherapy,2,73,64,4.056,1578
psychoanalytic_dialogues,1578,91,south africa,2,73,34,2.155,1578
psychoanalytic_dialogues,1578,92,philip bromberg,2,71,21,1.331,1578
psychoanalytic_dialogues,1578,93,psychoanalysis runninghead,2,70,70,4.436,1578
psychoanalytic_dialogues,1578,94,psychological association,2,69,61,3.866,1578
psychoanalytic_dialogues,1578,95,psychoanalysis faculty,2,69,61,3.866,1578
psychoanalytic_dialogues,1578,96,ken corbett,2,68,18,1.141,1578
psychoanalytic_dialogues,1578,97,stuart pizer,2,67,17,1.077,1578
psychoanalytic_dialogues,1578,98,american psychological,2,67,60,3.802,1578
psychoanalytic_dialogues,1578,99,american psychoanalytic,2,67,56,3.549,1578
psychoanalytic_dialogues,1578,100,analyst faculty,2,67,62,3.929,1578
psychoanalytic_dialogues,1578,101,analytic relationship,2,66,50,3.169,1578
psychoanalytic_dialogues,1578,102,editorial board,2,66,64,4.056,1578
psychoanalytic_dialogues,1578,103,psychoanalytic training,2,66,58,3.676,1578
psychoanalytic_dialogues,1578,104,virginia goldner,2,65,19,1.204,1578
psychoanalytic_dialogues,1578,105,columbia university,2,64,56,3.549,1578
psychoanalytic_dialogues,1578,106,field theory,2,64,22,1.394,1578
psychoanalytic_dialogues,1578,107,training analyst,2,62,55,3.485,1578
psychoanalytic_dialogues,1578,108,relational theory,2,62,38,2.408,1578
psychoanalytic_dialogues,1578,109,object relations,2,61,43,2.725,1578
psychoanalytic_dialogues,1578,110,training program,2,61,55,3.485,1578
psychoanalytic_dialogues,1578,111,board member,2,61,52,3.295,1578
psychoanalytic_dialogues,1578,112,eyal rozmarin,2,61,13,0.824,1578
psychoanalytic_dialogues,1578,113,peter goldberg,2,60,18,1.141,1578
psychoanalytic_dialogues,1578,114,amy cooney,2,60,18,1.141,1578
psychoanalytic_dialogues,1578,115,avenue suite,2,59,59,3.739,1578
psychoanalytic_dialogues,1578,116,relationship between,2,59,51,3.232,1578
psychoanalytic_dialogues,1578,117,international journal,2,59,57,3.612,1578
psychoanalytic_dialogues,1578,118,thinking about,2,58,45,2.852,1578
psychoanalytic_dialogues,1578,119,analyst patient,2,57,51,3.232,1578
psychoanalytic_dialogues,1578,120,street san,2,57,55,3.485,1578
psychoanalytic_dialogues,1578,121,faculty supervising,2,57,51,3.232,1578
psychoanalytic_dialogues,1578,122,east street,2,57,57,3.612,1578
psychoanalytic_dialogues,1578,123,gillian straker,2,57,12,0.76,1578
psychoanalytic_dialogues,1578,124,relational psychoanalytic,2,56,45,2.852,1578
psychoanalytic_dialogues,1578,125,christopher bonovitz,2,56,12,0.76,1578
psychoanalytic_dialogues,1578,126,theory practice,2,55,41,2.598,1578
psychoanalytic_dialogues,1578,127,adjunct clinical,2,55,47,2.978,1578
psychoanalytic_dialogues,1578,128,psychoanalysis psychoanalytic,2,55,54,3.422,1578
psychoanalytic_dialogues,1578,129,transference countertransference,2,54,44,2.788,1578
