journal_key,n_records_group,rank,term,ngram_n,count,doc_count,doc_pct,n_docs_base
psychoanalytic_dialogues,1578,129,over,1,217,166,10.52,1578
psychoanalytic_dialogues,1578,130,cultural,1,217,140,8.872,1578
psychoanalytic_dialogues,1578,131,three,1,217,162,10.266,1578
psychoanalytic_dialogues,1578,132,need,1,216,152,9.632,1578
psychoanalytic_dialogues,1578,133,analysts,1,216,161,10.203,1578
psychoanalytic_dialogues,1578,134,place,1,215,172,10.9,1578
psychoanalytic_dialogues,1578,135,after,1,214,148,9.379,1578
psychoanalytic_dialogues,1578,136,reality,1,213,110,6.971,1578
psychoanalytic_dialogues,1578,137,psy,1,213,130,8.238,1578
psychoanalytic_dialogues,1578,138,body,1,210,108,6.844,1578
psychoanalytic_dialogues,1578,139,model,1,210,142,8.999,1578
psychoanalytic_dialogues,1578,140,language,1,204,116,7.351,1578
psychoanalytic_dialogues,1578,141,racial,1,204,73,4.626,1578
psychoanalytic_dialogues,1578,142,introduction,1,203,85,5.387,1578
psychoanalytic_dialogues,1578,143,people,1,202,153,9.696,1578
psychoanalytic_dialogues,1578,144,early,1,201,154,9.759,1578
psychoanalytic_dialogues,1578,145,aron,1,200,68,4.309,1578
psychoanalytic_dialogues,1578,146,aspects,1,198,157,9.949,1578
psychoanalytic_dialogues,1578,147,director,1,198,153,9.696,1578
psychoanalytic_dialogues,1578,148,medical,1,197,163,10.33,1578
psychoanalytic_dialogues,1578,149,including,1,196,173,10.963,1578
psychoanalytic_dialogues,1578,150,processes,1,194,136,8.619,1578
psychoanalytic_psychology,1369,1,phd,1,1792,1076,78.598,1369
psychoanalytic_psychology,1369,2,psychoanalytic,1,1560,629,45.946,1369
psychoanalytic_psychology,1369,3,runninghead,1,1369,1369,100.0,1369
psychoanalytic_psychology,1369,4,psychoanalysis,1,1169,429,31.337,1369
psychoanalytic_psychology,1369,5,new,1,913,468,34.186,1369
psychoanalytic_psychology,1369,6,treatment,1,859,366,26.735,1369
psychoanalytic_psychology,1369,7,clinical,1,829,490,35.793,1369
psychoanalytic_psychology,1369,8,between,1,819,455,33.236,1369
psychoanalytic_psychology,1369,9,university,1,796,208,15.194,1369
psychoanalytic_psychology,1369,10,e-mail,1,791,629,45.946,1369
psychoanalytic_psychology,1369,11,theory,1,782,352,25.712,1369
psychoanalytic_psychology,1369,12,attachment,1,771,130,9.496,1369
psychoanalytic_psychology,1369,13,patients,1,679,294,21.476,1369
psychoanalytic_psychology,1369,14,psychotherapy,1,674,270,19.722,1369
psychoanalytic_psychology,1369,15,psychology,1,617,274,20.015,1369
psychoanalytic_psychology,1369,16,process,1,614,321,23.448,1369
psychoanalytic_psychology,1369,17,research,1,570,315,23.009,1369
psychoanalytic_psychology,1369,18,personality,1,559,177,12.929,1369
psychoanalytic_psychology,1369,19,york,1,541,300,21.914,1369
psychoanalytic_psychology,1369,20,self,1,503,204,14.901,1369
psychoanalytic_psychology,1369,21,therapeutic,1,489,238,17.385,1369
psychoanalytic_psychology,1369,22,experience,1,487,268,19.576,1369
psychoanalytic_psychology,1369,23,relationship,1,487,245,17.896,1369
psychoanalytic_psychology,1369,24,development,1,481,262,19.138,1369
psychoanalytic_psychology,1369,25,patient,1,467,245,17.896,1369
psychoanalytic_psychology,1369,26,object,1,449,172,12.564,1369
psychoanalytic_psychology,1369,27,about,1,439,290,21.183,1369
psychoanalytic_psychology,1369,28,work,1,406,259,18.919,1369
psychoanalytic_psychology,1369,29,analysis,1,392,202,14.755,1369
psychoanalytic_psychology,1369,30,analytic,1,375,196,14.317,1369
psychoanalytic_psychology,1369,31,psychodynamic,1,363,141,10.299,1369
